User;Time;esta/no esta
70334081;134951508; no esta
67734766;77471901; no esta
24044547;74873077; no esta
87784079;60069897; no esta
14243680;115327425; no esta
84152827;66193408; no esta
36639489;58640138; no esta
21376372;61307655; no esta
91300293;61977094; no esta
70373671;82268482; no esta
21894086;68574632; no esta
14774674;59166218; no esta
37110881;64374530; esta
24313537;74818464; no esta
59767302;64859650; esta
71531691;62436186; esta
65493659;60018270; no esta
02941148;62772826; no esta
88325629;70843642; no esta
96724497;59335604; esta
96101907;68307113; no esta
44575587;63806638; no esta
42938533;60569949; no esta
84288896;62853466; esta
52791849;60907869; esta
96512247;71778468; no esta
08363023;77776114; esta
11050395;53132305; no esta
01211740;54764303; no esta
22491589;58961418; esta
76075826;76382622; esta
77537791;56837474; esta
41742992;64977411; no esta
64603176;59071071; no esta
32583096;56905314; no esta
02270110;77453981; no esta
90000100;60732936; esta
23007747;62686213; no esta
98892877;57023074; no esta
62887011;63788291; no esta
20041425;64885250; no esta
44433755;67498154; no esta
11406316;54283024; no esta
14484059;57128887; esta
73621328;56933473; esta
69277154;68049833; no esta
37482486;62007387; no esta
94998285;72105721; no esta
52923784;64604504; esta
61037558;57141260; no esta
38607794;56662541; esta
41534713;65837143; no esta
54896489;62857733; no esta
93691811;66444288; no esta
54554529;61653681; no esta
96046739;64576344; esta
09001355;52060094; no esta
27515182;66230102; no esta
57325337;51584361; esta
54409958;58034699; esta
80298633;55577102; no esta
62995603;46786927; no esta
68640475;58620512; no esta
75305054;61244935; no esta
37757110;42542453; no esta
88846731;48634391; no esta
75028843;58629472; no esta
04697460;50373482; esta
83380383;46530927; no esta
56047954;47891565; no esta
23593737;50051350; no esta
76125542;49661803; no esta
83668143;57497527; no esta
20770535;47623192; no esta
57435841;46982340; no esta
43770222;57141687; no esta
94037549;80330137; no esta
90596472;51296788; no esta
64676373;57548299; no esta
03592352;67711914; no esta
05806189;53030332; no esta
34028499;43830130; no esta
93602639;49037591; no esta
98657281;63480238; esta
35680151;58466059; esta
98792004;55179022; no esta
23018259;45813702; esta
83153666;54869690; esta
74657386;55132089; no esta
97625452;59220831; no esta
35287247;50948628; no esta
43194207;58441738; esta
71930533;60668509; no esta
75861310;78167367; no esta
36165721;61215495; no esta
81729551;51951294; esta
68339966;48465431; no esta
15768619;54393957; esta
32579182;55068942; no esta
12361969;54018491; esta
57413248;46641860; no esta
07091123;58585098; esta
83952782;54781370; no esta
74474376;44948849; no esta
58327634;48935190; esta
57834543;45684421; no esta
73705280;49029058; no esta
66092206;59342004; no esta
18354001;57733472; esta
89087971;56656140; no esta
01583095;63846745; no esta
09888139;59673950; no esta
22227927;58283019; no esta
41916168;58073525; no esta
93314537;62976772; esta
69613655;55135076; no esta
84438168;58972511; no esta
53349009;57206114; no esta
44133835;64719704; no esta
19168101;63583492; no esta
37731244;45849114; no esta
04713384;50982761; no esta
45568858;53322599; no esta
29283700;50431936; no esta
80949483;47985005; no esta
84069438;58079072; no esta
12665508;57128887; no esta
61913262;56272995; esta
42646082;57045687; no esta
85177074;56709474; no esta
85163868;57285473; esta
76839890;59287817; no esta
95153301;44638663; no esta
98338935;61694642; esta
08830539;55615075; no esta
54939790;53368678; esta
77253590;48031939; no esta
42829090;62821467; esta
69691079;46591940; no esta
84091581;49757803; no esta
76475723;50124736; esta
82857313;64858797; no esta
27546597;66649088; no esta
72649937;56877581; no esta
59412451;62388826; no esta
72851783;61284188; no esta
62767517;53711291; esta
72694285;54857743; no esta
69216903;59982003; esta
72802418;42744265; no esta
48806385;54943930; no esta
01854079;41685706; no esta
94683394;53858065; no esta
45364152;45465115; esta
95439271;55216995; no esta
20544001;56377955; no esta
76254597;60212403; no esta
89842929;62819759; no esta
50002714;46852633; no esta
11331888;46400367; no esta
29206389;58379445; no esta
61975723;57784673; no esta
79375899;57326860; esta
16712143;62735706; no esta
95021091;59662004; no esta
26252656;54410171; no esta
53417634;48200898; no esta
79985231;66847061; no esta
47709620;55243876; no esta
80604548;40339575; no esta
14227580;53003878; no esta
31947222;51781480; esta
98786336;52441533; no esta
54159244;56687288; no esta
03027585;57228301; esta
84768636;60246963; no esta
75336205;51058281; esta
64821739;39209763; esta
74657582;44775196; no esta
33307254;38745977; no esta
60831354;50325695; esta
43082066;53208678; esta
78351732;55244303; no esta
49615488;45817968; no esta
05667372;55155556; no esta
55809926;55202916; no esta
40760181;52236733; esta
70737650;42169119; no esta
71022623;52814865; esta
77703154;46721221; no esta
65146429;54884197; no esta
61425562;62179760; no esta
41252461;49422443; esta
15211598;42877386; no esta
14286824;50021483; no esta
38332365;55582649; no esta
32835388;56008461; no esta
18923017;51446974; no esta
08365925;63817731; no esta
91915585;54376037; no esta
