User;Time;esta/no esta
70334081;58664458; no esta
67734766;51967081; no esta
24044547;48957804; no esta
87784079;50113642; no esta
14243680;51500307; no esta
84152827;75899210; no esta
36639489;47575832; no esta
21376372;46376901; no esta
91300293;46539461; no esta
70373671;49311510; no esta
21894086;52034067; no esta
14774674;49212951; no esta
37110881;350719; esta
24313537;49027351; no esta
59767302;1186132; esta
71531691;950612; esta
65493659;50378176; no esta
02941148;53765051; no esta
88325629;52767506; no esta
96724497;608852; esta
96101907;54682810; no esta
44575587;54607716; no esta
42938533;48275992; no esta
84288896;856746; esta
52791849;64427; esta
96512247;50466922; no esta
08363023;388693; esta
11050395;47601859; no esta
01211740;45963461; no esta
22491589;356267; esta
76075826;457386; esta
77537791;557226; esta
41742992;49547030; no esta
64603176;50808255; no esta
32583096;50023189; no esta
02270110;53096892; no esta
90000100;339200; esta
23007747;54732304; no esta
98892877;54001424; no esta
62887011;55148730; no esta
20041425;55121423; no esta
44433755;54963130; no esta
11406316;54940516; no esta
14484059;77653; esta
73621328;805546; esta
69277154;54698170; no esta
37482486;55778062; no esta
94998285;51887294; no esta
52923784;966826; esta
61037558;53220625; no esta
38607794;424959; esta
41534713;54287717; no esta
54896489;55608676; no esta
93691811;59813043; no esta
54554529;58702432; no esta
96046739;651946; esta
09001355;56862647; no esta
27515182;53413052; no esta
57325337;482986; esta
54409958;363093; esta
80298633;44256370; no esta
62995603;49391723; no esta
68640475;53461692; no esta
75305054;55939342; no esta
37757110;56850274; no esta
88846731;56503394; no esta
75028843;58628191; no esta
04697460;1121279; esta
83380383;58464778; no esta
56047954;49433964; no esta
23593737;52804199; no esta
76125542;56687288; no esta
83668143;57816246; no esta
20770535;55656036; no esta
57435841;59939336; no esta
43770222;58687498; no esta
94037549;59382964; no esta
90596472;51474281; no esta
64676373;55743076; no esta
03592352;48704791; no esta
05806189;49608896; no esta
34028499;48150125; no esta
93602639;52206866; no esta
98657281;551679; esta
35680151;722773; esta
98792004;53800891; no esta
23018259;342613; esta
83153666;284587; esta
74657386;53209532; no esta
97625452;53636198; no esta
35287247;55678649; no esta
43194207;533759; esta
71930533;56246968; no esta
75861310;55457636; no esta
36165721;54286437; no esta
81729551;354133; esta
68339966;65505623; no esta
15768619;300800; esta
32579182;52515346; no esta
12361969;542293; esta
57413248;52427453; no esta
07091123;1081598; esta
83952782;56467554; no esta
74474376;54585530; no esta
58327634;957012; esta
57834543;55697849; no esta
73705280;59876190; no esta
66092206;48595138; no esta
18354001;750079; esta
89087971;46360687; no esta
01583095;46504474; no esta
09888139;46347887; no esta
22227927;44293063; no esta
41916168;47741805; no esta
93314537;1082026; esta
69613655;54040677; no esta
84438168;54647397; no esta
53349009;52493159; no esta
44133835;55004089; no esta
19168101;53765051; no esta
37731244;53867451; no esta
04713384;53256892; no esta
45568858;54835130; no esta
29283700;55338595; no esta
80949483;50092310; no esta
84069438;53365692; no esta
12665508;56814861; no esta
61913262;983892; esta
42646082;59504137; no esta
85177074;50893162; no esta
85163868;99839; esta
76839890;52773906; no esta
95153301;48197912; no esta
98338935;200107; esta
08830539;46479300; no esta
54939790;168533; esta
77253590;47498606; no esta
42829090;460373; esta
69691079;45202289; no esta
84091581;45160475; no esta
76475723;834132; esta
82857313;49052951; no esta
27546597;52648039; no esta
72649937;54162704; no esta
59412451;48646764; no esta
72851783;52292627; no esta
62767517;670720; esta
72694285;52335293; no esta
69216903;829439; esta
72802418;51387668; no esta
48806385;50874388; no esta
01854079;52694973; no esta
94683394;49754389; no esta
45364152;238079; esta
95439271;51594601; no esta
20544001;53527399; no esta
76254597;55869368; no esta
89842929;49769323; no esta
50002714;70220710; no esta
11331888;71664975; no esta
29206389;63409839; no esta
61975723;50731455; no esta
79375899;694186; esta
16712143;46158021; no esta
95021091;46383301; no esta
26252656;47694019; no esta
53417634;46156741; no esta
79985231;48718018; no esta
47709620;46230554; no esta
80604548;48736791; no esta
14227580;53066172; no esta
31947222;212053; esta
98786336;61564508; no esta
54159244;66763861; no esta
03027585;488106; esta
84768636;52150120; no esta
75336205;116053; esta
64821739;331946; esta
74657582;48798658; no esta
33307254;47704685; no esta
60831354;81920; esta
43082066;577706; esta
78351732;49640043; no esta
49615488;47302766; no esta
05667372;47815619; no esta
55809926;47625752; no esta
40760181;840106; esta
70737650;48575511; no esta
71022623;251307; esta
77703154;47457646; no esta
65146429;45630235; no esta
61425562;43900103; no esta
41252461;443306; esta
15211598;51420094; no esta
14286824;52386493; no esta
38332365;55299769; no esta
32835388;51592041; no esta
18923017;46920047; no esta
08365925;44616903; no esta
91915585;46238234; no esta
93691197;567466; esta
03405111;45052956; no esta
61317407;237226; esta
58530750;46093595; no esta
30624242;721919; esta
88134837;630612; esta
32838874;52103613; no esta
86002516;58925151; no esta
35652659;51661587; no esta
69084123;51560467; no esta
23341747;47699993; no esta
13077885;465066; esta
27803732;416852; esta
13563316;54074811; no esta
38357891;52270440; no esta
01461552;53644731; no esta
20071740;47616793; no esta
71803538;314453; esta
15025078;432639; esta
50693205;62720; esta
20342745;48535831; no esta
30058536;50291562; no esta
14427357;808106; esta
07441629;54003558; no esta
96088575;111360; esta
74823243;50048789; no esta
73740364;46106394; no esta
94969444;1008212; esta
72281684;54484410; no esta
92322907;54448143; no esta
63122744;58736138; no esta
60507051;55114169; no esta
93812407;54496783; no esta
64494432;702292; esta
94207243;55779342; no esta
72182076;640853; esta
54449367;55228516; no esta
35698899;54245904; no esta
29675506;52918119; no esta
01660735;52072894; no esta
26617425;296106; esta
07003539;54039825; no esta
99108060;56859661; no esta
83606289;654506; esta
33924150;59594164; no esta
60893461;57060194; no esta
93619043;55849315; no esta
25704081;49325590; no esta
11981056;54597050; no esta
47277208;46960153; no esta
23469125;546985; esta
85610822;47539140; no esta
50490908;46510447; no esta
26550966;44123677; no esta
22677546;45342235; no esta
67546937;52931772; no esta
49780183;55562169; no esta
76868610;56290488; no esta
02404844;57243660; no esta
53696157;1248852; esta
95849699;59958110; no esta
45688619;53947664; no esta
66655939;54313744; no esta
48708248;57666059; no esta
88635052;56965900; no esta
87754460;59590324; no esta
56233683;57024780; no esta
41966448;875092; esta
79169597;279893; esta
73390288;56384781; no esta
86793687;55357369; no esta
15821438;856746; esta
83847327;73813; esta
34116817;55737528; no esta
57483836;55000677; no esta
08177225;217173; esta
36164757;47552366; no esta
63825712;47112473; no esta
55439940;255147; esta
03936910;45985222; no esta
37289190;46310341; no esta
43545707;48445378; no esta
54658328;54026171; no esta
39997528;670292; esta
74511526;892585; esta
08640883;881919; esta
70063204;1055572; esta
68968811;53693372; no esta
39810787;54460944; no esta
19550491;52165053; no esta
60049674;49186497; no esta
66774625;1023998; esta
37355715;54938383; no esta
56005359;52815719; no esta
06489251;211626; esta
87397776;54611983; no esta
97150848;51555774; no esta
34743899;50537322; no esta
93131463;797012; esta
61060889;50854761; no esta
28394598;49903296; no esta
77129257;49693376; no esta
13251677;54081211; no esta
37831631;48599405; no esta
37221148;51297641; no esta
26109208;44674930; no esta
08674581;46201968; no esta
87566687;45179248; no esta
92270065;43433331; no esta
19597702;280746; esta
98724875;45026929; no esta
12347564;102827; esta
80690494;47937219; no esta
97724022;52183826; no esta
10717158;54918756; no esta
52192149;75094; esta
03511226;54272357; no esta
75952160;51952147; no esta
85492711;53349479; no esta
56993947;55151289; no esta
17043060;53674171; no esta
89129903;55502009; no esta
41727558;149759; esta
24569179;101547; esta
76834846;53967291; no esta
57697249;54757050; no esta
33512983;54882063; no esta
66871319;55142329; no esta
94231410;53929317; no esta
90036111;53838011; no esta
07200854;53099025; no esta
01797224;47144900; no esta
95343344;45603781; no esta
89769636;53641318; no esta
47339808;51254548; no esta
43231216;44985543; no esta
91141335;48316525; no esta
53354015;898985; esta
18936778;50966548; no esta
89094479;52075880; no esta
10925466;52580199; no esta
71845926;53364412; no esta
20319235;55456356; no esta
34695965;55317689; no esta
87222761;982185; esta
74297416;52351079; no esta
80139734;53016678; no esta
17630359;53570065; no esta
24012504;54824890; no esta
42425943;53266279; no esta
25594153;53773585; no esta
38605891;52520039; no esta
62312573;52626279; no esta
51248600;53408785; no esta
87027704;48005058; no esta
24136080;52151400; no esta
65525465;49307244; no esta
50410208;49696363; no esta
30037322;57726646; no esta
56801768;49925056; no esta
46353388;179626; esta
21652821;50592788; no esta
64532528;55077476; no esta
04373225;51181161; no esta
96657464;427519; esta
69314751;51942334; no esta
37802138;52740199; no esta
71370055;151040; esta
25077744;633172; esta
72127490;53168145; no esta
92031303;580693; esta
12344081;52747453; no esta
51877958;53856784; no esta
10840471;51866814; no esta
43739210;54152038; no esta
25144445;53676731; no esta
72369349;536746; esta
97572727;684799; esta
55061648;53564092; no esta
32502072;52849852; no esta
94563616;53714278; no esta
51837144;53569638; esta
22664127;56984247; no esta
97816290;47276739; no esta
05896394;670719; esta
28121404;48999190; no esta
63279612;44756849; no esta
82928083;51875347; no esta
77524265;675839; esta
41838546;209920; esta
47091394;54248037; no esta
61522656;762026; esta
60111583;51969640; no esta
43508195;73813; esta
01786759;53572198; no esta
53627245;40960; esta
89460343;960852; esta
06696068;54511717; no esta
26766100;55391075; no esta
68538279;800426; esta
04641247;54182331; no esta
18478077;52594279; no esta
95734449;54943929; no esta
96678877;733866; esta
38394860;53251772; no esta
77389155;52459880; no esta
88006083;55427342; no esta
19702129;480426; esta
82105739;276906; esta
98188394;470613; esta
73215129;54021905; no esta
47295694;54800143; no esta
01164505;53433105; no esta
50754085;55614649; no esta
74449687;49589270; no esta
67002075;48142445; no esta
35044373;48969324; no esta
42472004;367359; esta
69070547;47285700; no esta
72532050;429653; esta
27611911;53011985; no esta
30649604;53095185; no esta
69292557;159146; esta
05563370;478293; esta
52782215;51984146; no esta
41435645;55019876; no esta
79593271;467626; esta
44142595;58030859; no esta
20272330;54324411; no esta
32196793;740692; esta
83864777;54688783; no esta
21172762;57735606; no esta
88449596;56110434; no esta
04129946;56584035; no esta
70207861;56974433; no esta
51508450;57890060; no esta
44225962;53493692; no esta
24550375;55458489; no esta
22283675;1069652; esta
63371373;58991711; no esta
71968126;1072212; esta
30096630;54058171; no esta
53759968;589226; esta
24478601;58552245; no esta
15600900;63303599; no esta
84260439;640426; esta
72315163;49369110; no esta
65007677;44763250; no esta
18983205;50629909; no esta
95341672;769706; esta
50708411;9386; esta
34064430;54369210; no esta
00867063;61506908; no esta
41235407;81909228; no esta
24030857;2198610; esta
07855142;71279269; no esta
78195990;369920; esta
37946734;75361611; no esta
76878103;62991279; no esta
42558040;55632142; no esta
92399063;72795640; no esta
08820768;701866; esta
73187247;66073515; no esta
18110938;476586; esta
22829125;60900189; no esta
97835253;53478759; no esta
03901319;54415290; no esta
13278545;471040; esta
14098480;53758225; no esta
64973087;633172; esta
24986363;46204101; no esta
68179338;48119405; no esta
86820574;46923459; no esta
81843591;44949276; no esta
40083721;47086020; no esta
41566368;53478331; no esta
96842098;53047825; no esta
58407448;421546; esta
16443896;53565798; no esta
77230260;53568358; no esta
53858199;53404945; no esta
00298013;55010489; no esta
60291694;851199; esta
53209551;56824674; no esta
01896376;54201104; no esta
66453615;54547557; no esta
14622428;55813048; no esta
87611071;546986; esta
70426946;368639; esta
33824990;54829583; no esta
75238656;55243876; no esta
90187187;64706477; no esta
95653215;55429476; no esta
11698611;53587132; no esta
88232832;47673966; no esta
93685083;708266; esta
47253705;828585; esta
36402526;47789592; no esta
92045202;45740741; no esta
59654846;45221915; no esta
87019804;220159; esta
69126145;693333; esta
70374590;46686661; no esta
06259190;51741801; no esta
29530165;55219129; no esta
95565699;561065; esta
90478370;214613; esta
36114418;206080; esta
35137406;55999928; no esta
85069054;57317900; no esta
75882127;58495499; no esta
54095951;59494751; no esta
33484705;58733152; no esta
28502963;55644942; no esta
52949447;58382859; no esta
66599357;54921316; no esta
85937617;528639; esta
25335845;57896032; no esta
82857790;52039613; no esta
46755917;983039; esta
40343821;53981797; no esta
93771763;982186; esta
97730314;447146; esta
64962007;506026; esta
04092777;207787; esta
32060905;55532302; no esta
15373112;54239504; no esta
98305963;50898708; no esta
80436102;51229801; no esta
23942114;46099141; no esta
62692182;494079; esta
99953900;49974122; no esta
44469406;51059561; no esta
67475389;54044090; no esta
59842934;53715132; no esta
13408626;56530701; no esta
98769820;650665; esta
77862905;55167503; no esta
48251065;56822114; no esta
16100509;1058986; esta
33360058;765865; esta
48398341;56308408; no esta
68564961;54927289; no esta
56295762;58527071; no esta
77782435;55480675; no esta
99246213;56619874; no esta
54663054;56635235; no esta
34398687;54830437; no esta
76850998;55282702; no esta
90814055;244906; esta
23516490;56598114; no esta
01024404;346026; esta
50862810;894293; esta
87412814;53998011; no esta
43822872;414719; esta
62031793;839253; esta
98141967;52709906; no esta
65162937;51661160; no esta
84588170;262400; esta
68106872;49634070; no esta
47769469;47657325; no esta
46814311;49217644; no esta
31346204;54398651; no esta
80088754;53343506; no esta
73707776;53375505; no esta
82905487;53844838; no esta
30784063;53269692; no esta
71529025;54566757; no esta
01706981;55022863; no esta
33560134;52340839; no esta
37352020;53753104; no esta
66629858;43093; esta
34002997;52876305; no esta
40301996;677546; esta
27303300;448853; esta
58647104;55122276; no esta
92892196;53505638; no esta
02869237;57012834; no esta
10144368;55379555; no esta
10335096;52497853; no esta
00109766;756905; esta
51865639;50343616; no esta
60895648;49156630; no esta
67758589;51024574; no esta
42703897;47473859; no esta
78679319;51183721; no esta
44760050;52205586; no esta
11121168;54026171; no esta
52290533;54957583; no esta
60117444;52810172; no esta
93208454;55058703; no esta
92604152;46506; esta
27997918;54193851; no esta
92402767;53230439; no esta
53767575;739412; esta
42016287;55048889; no esta
26496906;55685049; no esta
06589298;920745; esta
11994397;55078329; no esta
97944337;1004372; esta
70063309;53013692; no esta
95837889;55988409; no esta
12237154;55456782; no esta
42087736;53262012; no esta
14345373;55096250; no esta
48368503;290132; esta
35951295;51156841; no esta
09908612;449279; esta
39862101;50728042; no esta
44205982;45734341; no esta
28168944;459946; esta
86427614;48383085; no esta
66889036;375039; esta
49519226;50027030; no esta
79201485;51145321; no esta
83216116;365652; esta
23604909;56991927; no esta
86744299;53187345; no esta
22505601;52921532; no esta
81092200;53701905; no esta
30318216;55095396; no esta
57571262;50863721; no esta
14706874;51831827; no esta
84655498;52707346; no esta
74485169;52916839; no esta
86902031;52775186; no esta
83071472;53238118; no esta
10127345;53814971; no esta
71474141;54100410; no esta
76179629;54083771; no esta
37534865;52960785; no esta
39669769;49244097; no esta
88358835;47696152; no esta
27817078;44822130; no esta
50812911;245333; esta
31523308;509866; esta
12148440;47000260; no esta
23194806;50236522; no esta
72929419;90027; esta
97465154;49347777; no esta
33358934;929706; esta
10646462;52520893; no esta
55621208;755626; esta
16433963;53290599; no esta
43012280;50263402; no esta
27679475;439466; esta
60325928;52492733; no esta
56651149;53250065; no esta
22006295;52802493; no esta
45450941;52557159; no esta
62086144;54039398; no esta
84084737;53752251; no esta
73667804;57174; esta
24297986;212053; esta
01736972;53643878; no esta
43511643;51999933; no esta
83349924;53483878; no esta
64342618;16640; esta
73947350;52814439; no esta
15095105;54065851; no esta
56208462;53152358; no esta
63536009;108800; esta
14661491;47298500; no esta
02926603;222720; esta
07469079;276053; esta
82523004;79786; esta
52695124;44955676; no esta
12414039;741972; esta
58823608;46640581; no esta
26221356;545706; esta
12849194;45069596; no esta
96993962;47913325; no esta
50851395;51371881; no esta
13018486;55335183; no esta
08031216;51963667; no esta
79641456;52231613; no esta
74701466;51830974; no esta
56351505;52814866; no esta
23514760;53148519; no esta
00521005;966826; esta
87373387;51257108; no esta
00464501;195413; esta
42928590;52273853; no esta
32053865;102827; esta
03517138;784639; esta
35063286;54951609; no esta
42750818;52376253; no esta
01016525;54843237; no esta
26775689;51984573; no esta
65700444;313173; esta
99644963;51913747; no esta
96252264;53807291; no esta
40905310;51373587; no esta
64356815;48068632; no esta
46973016;45330716; no esta
86793204;170240; esta
46756604;48523031; no esta
59989664;48947564; no esta
70335284;48626285; no esta
74456493;330239; esta
79490093;51653054; no esta
39739734;53070865; no esta
44415065;53561104; no esta
48130021;538452; esta
09549256;843093; esta
30036403;739839; esta
52415575;53160039; no esta
75033049;52090813; no esta
46260129;52827666; no esta
63504187;51850600; no esta
55211808;1058132; esta
33290641;667306; esta
07883893;570026; esta
61177954;631039; esta
68577003;27733; esta
20924269;51741800; no esta
03399836;52532839; no esta
63985057;352853; esta
84047343;53244946; no esta
00262841;767999; esta
80368767;54078224; no esta
14003407;51454654; no esta
66318747;671999; esta
55082099;52200893; no esta
97937261;52805053; no esta
33300436;54350437; no esta
66164725;585386; esta
55311654;51545534; no esta
33599077;52944572; no esta
35170621;52858812; no esta
77597569;54015078; no esta
85567015;53976677; no esta
20035377;52406547; no esta
23333783;51468308; no esta
63543380;47952578; no esta
79245998;48834071; no esta
89804404;48101059; no esta
51450778;836692; esta
40664390;46208794; no esta
77830766;498773; esta
04956979;47694446; no esta
80295458;51890280; no esta
07483887;52216253; no esta
08801960;52399720; no esta
23316726;38454137; esta
33384613;51994387; no esta
65265541;54123451; no esta
23842197;51566440; no esta
67160082;54094865; no esta
57533425;52747452; no esta
00939669;53444625; no esta
45355142;54313744; no esta
04625369;1113172; esta
47759838;203093; esta
87245899;54098704; no esta
95261019;243627; esta
74288860;51158974; no esta
68517382;52293480; no esta
31135321;53024358; no esta
86126816;53093478; no esta
07303628;52921532; no esta
58510806;50243349; no esta
32988270;45955781; no esta
13273632;45716848; no esta
22675359;46531781; no esta
29470126;48262338; no esta
82076754;667733; esta
90079855;53497532; no esta
12711060;53593531; no esta
01379922;684372; esta
57956345;849919; esta
29337318;52765799; no esta
77444549;55529742; no esta
11669604;54155878; no esta
27351917;52851559; no esta
82195944;53899024; no esta
73756982;56461155; no esta
54165972;56679181; no esta
88317390;58824458; no esta
49292957;46892313; no esta
93861472;857172; esta
43711275;18774; esta
68194318;841385; esta
13453079;171520; esta
21612177;65327703; no esta
79310079;193279; esta
67483447;53969851; no esta
45989685;54521957; no esta
67096782;590506; esta
04391968;52515346; no esta
16621970;750933; esta
91503286;50675135; no esta
14684424;49863190; no esta
86875512;54596197; no esta
80851519;51125268; esta
39463308;51021588; no esta
94305364;55583076; no esta
95008305;1054292; esta
52427211;55608675; no esta
87266879;628479; esta
92957323;61620401; no esta
04317054;57987766; no esta
34316113;251306; esta
38370064;416426; esta
94908765;647679; esta
20478880;56275982; no esta
71435852;701012; esta
24370008;75856543; no esta
04558247;63588185; no esta
35566910;34987; esta
71174206;70444710; no esta
53135925;58504885; no esta
32764226;61604188; no esta
31793557;533333; esta
77164779;861013; esta
72678126;61606747; no esta
