User;Time;esta/no esta
70334081;37989498; no esta
67734766;21450639; no esta
24044547;15918487; no esta
87784079;17018432; no esta
14243680;16322539; no esta
84152827;19232829; no esta
36639489;15418007; no esta
21376372;14896621; no esta
91300293;16663018; no esta
70373671;16295233; no esta
21894086;17188672; no esta
14774674;17232191; no esta
37110881;14807021; esta
24313537;15102274; no esta
59767302;14983234; esta
71531691;18601790; esta
65493659;14606061; no esta
02941148;14334702; no esta
88325629;14389315; no esta
96724497;14375661; esta
96101907;17421631; no esta
44575587;15461953; no esta
42938533;17552618; no esta
84288896;15277207; esta
52791849;14409368; esta
96512247;16376299; no esta
08363023;16753899; esta
11050395;16501312; no esta
01211740;16647659; no esta
22491589;17361898; esta
76075826;14625262; esta
77537791;14506221; esta
41742992;17527445; no esta
64603176;14701208; no esta
32583096;16422379; no esta
02270110;14690968; no esta
90000100;14826647; esta
23007747;14677741; no esta
98892877;14921794; no esta
62887011;14615874; no esta
20041425;17566698; no esta
44433755;15702594; no esta
11406316;17545791; no esta
14484059;19866855; esta
73621328;18065044; esta
69277154;16260673; no esta
37482486;18906856; no esta
94998285;15050220; no esta
52923784;16367339; esta
61037558;15351874; no esta
38607794;14115395; esta
41534713;14905581; no esta
54896489;14697368; no esta
93691811;14401262; no esta
54554529;15956459; no esta
96046739;16282432; esta
09001355;14861208; no esta
27515182;15598913; no esta
57325337;17632831; esta
54409958;16362219; esta
80298633;20023868; no esta
62995603;16046486; no esta
68640475;16977472; no esta
75305054;14452888; no esta
37757110;14550595; no esta
88846731;15394541; no esta
75028843;14678595; no esta
04697460;15682966; esta
83380383;18431977; no esta
56047954;17082859; no esta
23593737;18867176; no esta
76125542;14750275; no esta
83668143;18731069; no esta
20770535;14476355; no esta
57435841;15244353; no esta
43770222;14402969; no esta
94037549;14570221; no esta
90596472;17839764; no esta
64676373;15697900; no esta
03592352;14852248; no esta
05806189;15591660; no esta
34028499;14642328; no esta
93602639;15840406; no esta
98657281;17055978; esta
35680151;16596459; esta
98792004;16034113; no esta
23018259;16751765; esta
83153666;14307395; esta
74657386;15020781; no esta
97625452;16087446; no esta
35287247;18382483; no esta
43194207;17092245; esta
71930533;17378111; no esta
75861310;14494701; no esta
36165721;14642755; no esta
81729551;16359659; esta
68339966;15724780; no esta
15768619;18708883; esta
32579182;14435822; no esta
12361969;18995603; esta
57413248;14899608; no esta
07091123;14802327; esta
83952782;14750701; no esta
74474376;18215657; no esta
58327634;14524142; esta
57834543;14411928; no esta
73705280;14922647; no esta
66092206;16552512; no esta
18354001;16139072; esta
89087971;16338326; no esta
01583095;17664831; no esta
09888139;14437955; no esta
22227927;14395715; no esta
41916168;17742911; no esta
93314537;14295021; esta
69613655;14700781; no esta
84438168;18461843; no esta
53349009;14385475; no esta
44133835;14262595; no esta
19168101;14319342; no esta
37731244;14433688; no esta
04713384;17244138; no esta
45568858;16877632; no esta
29283700;15121047; no esta
80949483;14277529; no esta
84069438;14332569; no esta
12665508;14266009; no esta
61913262;16179606; esta
42646082;17350804; no esta
85177074;18043711; no esta
85163868;14431981; esta
76839890;16577259; no esta
95153301;18636776; no esta
98338935;17380245; esta
08830539;15161581; no esta
54939790;14545474; esta
77253590;18608616; no esta
42829090;14507502; esta
69691079;14571928; no esta
84091581;16509846; no esta
76475723;18030484; esta
82857313;16020033; no esta
27546597;14445635; no esta
72649937;14324889; no esta
59412451;14234862; no esta
72851783;14445208; no esta
62767517;15738860; esta
72694285;16277739; no esta
69216903;18174270; esta
72802418;14396142; no esta
48806385;14382489; no esta
01854079;14532248; no esta
94683394;14228888; no esta
45364152;16333206; esta
95439271;15722220; no esta
20544001;15975659; no esta
76254597;16015766; no esta
89842929;15134701; no esta
50002714;14516888; no esta
11331888;16713365; no esta
29206389;16365206; no esta
61975723;16693311; no esta
79375899;16494485; esta
16712143;14987500; no esta
95021091;17459605; no esta
26252656;14603501; no esta
53417634;14543768; no esta
79985231;14459715; no esta
47709620;14243822; no esta
80604548;14929901; no esta
14227580;14167449; no esta
31947222;15128727; esta
98786336;17174165; no esta
54159244;16014486; no esta
03027585;14799341; esta
84768636;19406482; no esta
75336205;19534908; esta
64821739;18399550; esta
74657582;15738860; no esta
33307254;14507501; no esta
60831354;14309528; esta
43082066;14091502; esta
78351732;14347928; no esta
49615488;14315928; no esta
05667372;14652141; no esta
55809926;16981738; no esta
40760181;17964777; esta
70737650;15594647; no esta
71022623;14028355; esta
77703154;14227608; no esta
65146429;14536941; no esta
61425562;15782807; no esta
41252461;17112724; esta
15211598;15891179; no esta
14286824;14239982; no esta
38332365;14300569; no esta
32835388;14447341; no esta
18923017;18310377; no esta
08365925;16082753; no esta
91915585;16707392; no esta
93691197;14800621; esta
03405111;16652779; no esta
61317407;15891606; esta
58530750;14734061; no esta
30624242;14056942; esta
88134837;15958166; esta
32838874;14306115; no esta
86002516;14161475; no esta
35652659;14334275; no esta
69084123;15342060; no esta
23341747;15164567; no esta
13077885;17557311; esta
27803732;14828781; esta
13563316;17847871; no esta
38357891;14316355; no esta
01461552;18596670; no esta
20071740;15369367; no esta
71803538;18031337; esta
15025078;15790914; esta
50693205;14304409; esta
20342745;16526485; no esta
30058536;17426751; no esta
14427357;14053956; esta
07441629;17753150; no esta
96088575;18910695; esta
74823243;14538648; no esta
73740364;14309955; no esta
94969444;13900782; esta
72281684;14375235; no esta
92322907;14365849; no esta
63122744;16045633; no esta
60507051;17192938; no esta
93812407;14443928; no esta
64494432;14823234; esta
94207243;14802755; no esta
72182076;18344936; esta
54449367;14393155; no esta
35698899;15916780; no esta
29675506;14327448; no esta
01660735;15825473; no esta
26617425;14334275; esta
07003539;15551554; no esta
99108060;16184726; no esta
83606289;16602858; esta
33924150;17688298; no esta
60893461;15632620; no esta
93619043;15911233; no esta
25704081;18612029; no esta
11981056;17457897; no esta
47277208;15738860; no esta
23469125;20542694; esta
85610822;15345473; no esta
50490908;15327127; no esta
26550966;17385365; no esta
22677546;18042004; no esta
67546937;15341633; no esta
49780183;18348350; no esta
76868610;15186328; no esta
02404844;14324461; no esta
53696157;14568515; esta
95849699;15100568; no esta
45688619;15502486; no esta
66655939;14467395; no esta
48708248;14338968; no esta
88635052;15480727; no esta
87754460;18044564; no esta
56233683;18603069; no esta
41966448;14792088; esta
79169597;17313685; esta
73390288;15385154; no esta
86793687;14295875; no esta
15821438;13861529; esta
83847327;14236569; esta
34116817;16842645; no esta
57483836;14825368; no esta
08177225;15537047; esta
36164757;14604354; no esta
63825712;14265582; no esta
55439940;14200302; esta
03936910;14212248; no esta
37289190;15523820; no esta
43545707;18441789; no esta
54658328;14518168; no esta
39997528;13974595; esta
74511526;16359233; esta
08640883;18011710; esta
70063204;19076669; esta
68968811;19109096; no esta
39810787;14116249; no esta
19550491;18749416; no esta
60049674;19685095; no esta
66774625;17323924; esta
37355715;14717421; no esta
56005359;18440937; no esta
06489251;14644462; esta
87397776;17294484; no esta
97150848;14873581; no esta
34743899;17586324; no esta
93131463;18230590; esta
61060889;15108247; no esta
28394598;16972778; no esta
77129257;14684995; no esta
13251677;14613315; no esta
37831631;14557421; no esta
37221148;18053523; no esta
26109208;15029314; no esta
08674581;15803713; no esta
87566687;14466968; no esta
92270065;14628675; no esta
19597702;14586434; esta
98724875;15665046; no esta
12347564;17738643; esta
80690494;16516246; no esta
97724022;17011605; no esta
10717158;14533102; no esta
52192149;14289901; esta
03511226;14273688; no esta
75952160;17666964; no esta
85492711;18964029; no esta
56993947;14343662; no esta
17043060;14455875; no esta
89129903;14253209; no esta
41727558;15204674; esta
24569179;16799126; esta
76834846;14342808; no esta
57697249;16363073; no esta
33512983;14168301; no esta
66871319;16245739; no esta
94231410;15720514; no esta
90036111;17847444; no esta
07200854;15313047; no esta
01797224;15527234; no esta
95343344;14291608; no esta
89769636;14237848; no esta
47339808;17357204; no esta
43231216;15842967; no esta
91141335;18914962; no esta
53354015;13793263; esta
18936778;18707176; no esta
89094479;14668781; no esta
10925466;14937581; no esta
71845926;17161365; no esta
20319235;16122433; no esta
34695965;14690541; no esta
87222761;14088088; esta
74297416;14292035; no esta
80139734;18172564; no esta
17630359;17771497; no esta
24012504;17008192; no esta
42425943;17484778; no esta
25594153;17085418; no esta
38605891;19624509; no esta
62312573;19775548; no esta
51248600;14767341; no esta
87027704;18302697; no esta
24136080;19446162; no esta
65525465;19884774; no esta
50410208;20374160; no esta
30037322;21755706; no esta
56801768;15287873; no esta
46353388;18170003; esta
21652821;17436138; no esta
64532528;14744727; no esta
04373225;14669634; no esta
96657464;14930754; esta
69314751;15926593; no esta
37802138;14516035; no esta
71370055;15558807; esta
25077744;19293415; esta
72127490;17323924; no esta
92031303;19042963; esta
12344081;15812673; no esta
51877958;17443818; no esta
10840471;15973953; no esta
43739210;14983661; no esta
25144445;14237422; no esta
72369349;14160622; esta
97572727;14782701; esta
55061648;18176404; no esta
32502072;14807875; no esta
94563616;19710268; no esta
51837144;322560; esta
22664127;16025579; no esta
97816290;14824088; no esta
05896394;15348033; esta
28121404;15522540; no esta
63279612;16517953; no esta
82928083;16212459; no esta
77524265;13800089; esta
41838546;14133315; esta
47091394;14133742; no esta
61522656;14178542; esta
60111583;15005848; no esta
43508195;15501633; esta
01786759;16179180; no esta
53627245;14246382; esta
89460343;13724996; esta
06696068;14250222; no esta
26766100;17931071; no esta
68538279;18733202; esta
04641247;14812568; no esta
18478077;18495123; no esta
95734449;17765524; no esta
96678877;17584190; esta
38394860;14415341; no esta
77389155;18954216; no esta
88006083;14519874; no esta
19702129;14170435; esta
82105739;14044995; esta
98188394;17737791; esta
73215129;18428136; no esta
47295694;18699069; no esta
01164505;18641896; no esta
50754085;19127869; no esta
74449687;14428995; no esta
67002075;15657366; no esta
35044373;18670056; no esta
42472004;14123928; esta
69070547;14493849; no esta
72532050;14030488; esta
27611911;14328728; no esta
30649604;17636244; no esta
69292557;17467711; esta
05563370;15626220; esta
52782215;14703341; no esta
41435645;14878701; no esta
79593271;14412355; esta
44142595;14475501; no esta
20272330;14329155; no esta
32196793;15546860; esta
83864777;15386433; no esta
21172762;18591550; no esta
88449596;15482007; no esta
04129946;19468775; no esta
70207861;17468991; no esta
51508450;14236142; no esta
44225962;14775448; no esta
24550375;18401256; no esta
22283675;13797102; esta
63371373;14368835; no esta
71968126;18085097; esta
30096630;18031337; no esta
53759968;14926487; esta
24478601;16970219; no esta
15600900;15051074; no esta
84260439;17734377; esta
72315163;15177367; no esta
65007677;17736938; no esta
18983205;18289044; no esta
95341672;15035288; esta
50708411;14257902; esta
34064430;14284782; no esta
00867063;16099393; no esta
41235407;17230484; no esta
24030857;15583553; esta
07855142;16964672; no esta
78195990;17732244; esta
37946734;16353259; no esta
76878103;14338541; no esta
42558040;15257154; no esta
92399063;18067604; no esta
08820768;14771181; esta
73187247;19589522; no esta
18110938;14174702; esta
22829125;14189208; no esta
97835253;14414488; no esta
03901319;14318061; no esta
13278545;14415342; esta
14098480;17335018; no esta
64973087;16513686; esta
24986363;14770754; no esta
68179338;15069420; no esta
86820574;16824298; no esta
81843591;19090749; no esta
40083721;16015766; no esta
41566368;14587715; no esta
96842098;14653848; no esta
58407448;16484672; esta
16443896;15915500; no esta
77230260;17481365; no esta
53858199;15610433; no esta
00298013;15867713; no esta
60291694;16982592; esta
53209551;15479447; no esta
01896376;14534808; no esta
66453615;16299499; no esta
14622428;18804883; no esta
87611071;14266009; esta
70426946;18269843; esta
33824990;15108674; no esta
75238656;14424728; no esta
90187187;15077100; no esta
95653215;18516457; no esta
11698611;15179927; no esta
88232832;14686701; no esta
93685083;14378649; esta
47253705;14376089; esta
36402526;16228672; no esta
92045202;17047871; no esta
59654846;14590701; no esta
87019804;16070806; esta
69126145;13843182; esta
70374590;15097581; no esta
06259190;16738538; no esta
29530165;18750696; no esta
95565699;14231449; esta
90478370;16529472; esta
36114418;13841049; esta
35137406;14172142; no esta
85069054;15264407; no esta
75882127;16619499; no esta
54095951;17459605; no esta
33484705;15886487; no esta
28502963;16033259; no esta
52949447;14233155; no esta
66599357;16162112; no esta
85937617;16956565; esta
25335845;16149740; no esta
82857790;15740567; no esta
46755917;13874329; esta
40343821;15665900; no esta
93771763;13716036; esta
97730314;14176408; esta
64962007;16303339; esta
04092777;18140564; esta
32060905;14856087; no esta
15373112;16269632; no esta
98305963;16369899; no esta
80436102;14362435; no esta
23942114;14757101; no esta
62692182;14308249; esta
99953900;14572781; no esta
44469406;14456729; no esta
67475389;14157635; no esta
59842934;14618008; no esta
13408626;14702915; no esta
98769820;17399871; esta
77862905;15745260; no esta
48251065;16977045; no esta
16100509;14056942; esta
33360058;14016409; esta
48398341;14158062; no esta
68564961;15160301; no esta
56295762;18208404; no esta
77782435;15043394; no esta
99246213;18903442; no esta
54663054;14358595; no esta
34398687;14415342; no esta
76850998;15181633; no esta
90814055;18845416; esta
23516490;14311661; no esta
01024404;14689261; esta
50862810;14948674; esta
87412814;19144082; no esta
43822872;19554109; esta
62031793;14019822; esta
98141967;17745898; no esta
65162937;18843283; no esta
84588170;14845847; esta
68106872;14246382; no esta
47769469;14443928; no esta
46814311;16715072; no esta
31346204;14507928; no esta
80088754;16348992; no esta
73707776;15518273; no esta
82905487;14266008; no esta
