User;Time;esta/no esta
63825712;54256593; no esta
55439940;305920; esta
03936910;54280060; no esta
37289190;53383207; no esta
43545707;53879847; no esta
54658328;53836327; no esta
39997528;641706; esta
74511526;813226; esta
08640883;639999; esta
70063204;708693; esta
68968811;51790036; no esta
39810787;54382460; no esta
19550491;53603368; no esta
60049674;54399100; no esta
66774625;1035093; esta
37355715;53361875; no esta
56005359;49855530; no esta
06489251;161706; esta
87397776;50120064; no esta
97150848;50760917; no esta
34743899;52721448; no esta
93131463;737280; esta
61060889;46833453; no esta
28394598;50279638; no esta
77129257;50716116; no esta
13251677;51952596; no esta
37831631;51640275; no esta
37221148;50606890; no esta
26109208;50654676; no esta
08674581;50605611; no esta
87566687;45641775; no esta
92270065;46616280; no esta
19597702;297387; esta
98724875;47723053; no esta
12347564;100694; esta
80690494;47098413; no esta
97724022;48182572; no esta
10717158;49720278; no esta
52192149;69547; esta
03511226;48189826; no esta
75952160;49538091; no esta
85492711;49869184; no esta
56993947;48893398; no esta
17043060;50555691; no esta
89129903;50326997; no esta
41727558;145066; esta
24569179;84907; esta
76834846;51443156; no esta
57697249;46089347; no esta
33512983;47697026; no esta
66871319;48186839; no esta
94231410;50109824; no esta
90036111;48325505; no esta
07200854;48633559; no esta
01797224;48166359; no esta
95343344;50618837; no esta
89769636;52342569; no esta
47339808;52064382; no esta
43231216;52609235; no esta
91141335;50980650; no esta
53354015;960426; esta
18936778;50917929; no esta
89094479;52969768; no esta
10925466;54681127; no esta
71845926;54206247; no esta
20319235;53951101; no esta
34695965;58246777; no esta
87222761;1030399; esta
74297416;58661923; no esta
80139734;48461612; no esta
17630359;54220327; no esta
24012504;56946724; no esta
42425943;58675150; no esta
25594153;55816486; no esta
38605891;54143953; no esta
62312573;54117074; no esta
51248600;54077821; no esta
87027704;54481020; no esta
24136080;54185340; no esta
65525465;54091900; no esta
50410208;54276647; no esta
30037322;54652114; no esta
56801768;54841554; no esta
46353388;179200; esta
21652821;52630995; no esta
64532528;63781493; no esta
04373225;43918043; no esta
96657464;380160; esta
69314751;48739798; no esta
37802138;51860862; no esta
71370055;157867; esta
25077744;1021013; esta
72127490;49275691; no esta
92031303;834986; esta
12344081;49340118; no esta
51877958;50834304; no esta
10840471;53053822; no esta
43739210;54503633; no esta
25144445;55001553; no esta
72369349;547840; esta
97572727;617386; esta
55061648;54349180; no esta
32502072;54707154; no esta
94563616;54432807; no esta
51837144;53519314; esta
22664127;54414887; no esta
97816290;54414034; no esta
05896394;696319; esta
28121404;54376060; no esta
63279612;54459687; no esta
82928083;52037502; no esta
77524265;762880; esta
41838546;244480; esta
47091394;46300974; no esta
61522656;705279; esta
60111583;46566787; no esta
43508195;60160; esta
01786759;47643266; no esta
53627245;41387; esta
89460343;962986; esta
06696068;49238572; no esta
26766100;48706945; no esta
68538279;715519; esta
04641247;51391103; no esta
18478077;52702675; no esta
95734449;54807846; no esta
96678877;621226; esta
38394860;52154409; no esta
77389155;51285289; no esta
88006083;51096276; no esta
19702129;472320; esta
82105739;192427; esta
98188394;373333; esta
73215129;50748117; no esta
47295694;51554089; no esta
01164505;49144705; no esta
50754085;48778625; no esta
74449687;48867798; no esta
67002075;48863532; no esta
35044373;49258625; no esta
42472004;419840; esta
69070547;49187798; no esta
72532050;406613; esta
27611911;49128491; no esta
30649604;49532545; no esta
69292557;128000; esta
05563370;447146; esta
52782215;51318143; no esta
41435645;53235581; no esta
79593271;447999; esta
44142595;52838355; no esta
20272330;51953022; no esta
32196793;642133; esta
83864777;49891370; no esta
21172762;51256277; no esta
88449596;54366247; no esta
04129946;57352911; no esta
70207861;57470244; no esta
51508450;54373927; no esta
44225962;55855312; no esta
24550375;54922620; no esta
22283675;808106; esta
63371373;51456809; no esta
71968126;961279; esta
30096630;50338944; no esta
53759968;586666; esta
24478601;53443795; no esta
15600900;56507686; no esta
84260439;722346; esta
72315163;53152382; no esta
65007677;58085071; no esta
18983205;59019470; no esta
95341672;808960; esta
50708411;8107; esta
34064430;59333923; no esta
00867063;60156109; no esta
41235407;60527308; no esta
24030857;901972; esta
07855142;61457441; no esta
78195990;451413; esta
37946734;62695199; no esta
76878103;58930297; no esta
42558040;59051043; no esta
92399063;58955896; no esta
08820768;895146; esta
73187247;59026296; no esta
18110938;656213; esta
22829125;58789923; no esta
97835253;59364216; no esta
03901319;54938407; no esta
13278545;430933; esta
14098480;52372435; no esta
64973087;699733; esta
24986363;49516758; no esta
68179338;47782786; no esta
86820574;47528066; no esta
81843591;47733293; no esta
40083721;49351638; no esta
41566368;50921343; no esta
96842098;51792169; no esta
58407448;380160; esta
16443896;48916439; no esta
77230260;49770197; no esta
53858199;50004010; no esta
00298013;51935103; no esta
60291694;826879; esta
53209551;57742457; no esta
01896376;61317068; no esta
66453615;54431101; no esta
14622428;51079209; no esta
87611071;388693; esta
70426946;281600; esta
33824990;48717612; no esta
75238656;51582676; no esta
90187187;54855207; no esta
95653215;54827047; no esta
11698611;51131690; no esta
88232832;51066410; no esta
93685083;801280; esta
47253705;935679; esta
36402526;53073021; no esta
92045202;49600385; no esta
59654846;56878032; no esta
87019804;207787; esta
69126145;670293; esta
70374590;55915046; no esta
06259190;54847953; no esta
29530165;49742890; no esta
95565699;578133; esta
90478370;212906; esta
36114418;162560; esta
35137406;53283795; no esta
85069054;54483580; no esta
75882127;54206674; no esta
54095951;54194301; no esta
33484705;54269821; no esta
28502963;54209233; no esta
52949447;53996327; no esta
66599357;54499367; no esta
85937617;533333; esta
25335845;54187047; no esta
82857790;54274087; no esta
46755917;1067092; esta
40343821;54295420; no esta
93771763;994559; esta
97730314;441600; esta
64962007;395946; esta
04092777;170240; esta
32060905;52345982; no esta
15373112;49817130; no esta
98305963;51208916; no esta
80436102;51556223; no esta
