User;Time;esta/no esta
70334081;273761356; no esta
67734766;185434216; no esta
24044547;219244946; no esta
87784079;238141135; no esta
14243680;283978730; no esta
84152827;101566163; esta
36639489;220185319; no esta
21376372;211044423; no esta
91300293;202975313; no esta
70373671;202876327; no esta
21894086;209272052; no esta
14774674;213152580; no esta
37110881;261546; esta
24313537;206808055; no esta
59767302;971519; esta
71531691;1098239; esta
65493659;199541078; no esta
02941148;217588628; no esta
88325629;207544481; no esta
96724497;525653; esta
96101907;216719083; no esta
44575587;228189148; no esta
42938533;222659555; no esta
84288896;1200639; esta
52791849;69547; esta
96512247;240987425; no esta
08363023;280747; esta
11050395;237793403; no esta
01211740;218051561; no esta
22491589;459519; esta
76075826;656639; esta
77537791;703146; esta
41742992;199244118; no esta
64603176;245774619; no esta
32583096;234219220; no esta
02270110;203433553; no esta
90000100;336639; esta
23007747;207262454; no esta
98892877;235109246; no esta
62887011;190092984; no esta
20041425;196658948; no esta
44433755;267178325; no esta
11406316;231628076; no esta
14484059;72107; esta
73621328;852053; esta
69277154;207915253; no esta
37482486;211289756; no esta
94998285;192651274; no esta
52923784;1070932; esta
61037558;227764188; no esta
38607794;402772; esta
41534713;203010300; no esta
54896489;276937458; no esta
93691811;240518946; no esta
54554529;267560191; no esta
96046739;584959; esta
09001355;227061896; no esta
27515182;250453866; no esta
57325337;750932; esta
54409958;474026; esta
80298633;272736931; no esta
62995603;241373558; no esta
68640475;254534500; no esta
75305054;273894049; no esta
37757110;231146798; no esta
88846731;270260134; no esta
75028843;241601824; no esta
04697460;1120852; esta
83380383;184789096; no esta
56047954;204772432; no esta
23593737;190345569; no esta
76125542;223675874; no esta
83668143;222622862; no esta
20770535;197051482; no esta
57435841;236937510; no esta
43770222;226699656; no esta
94037549;231542743; no esta
90596472;211584583; no esta
64676373;226939869; no esta
03592352;228727174; no esta
05806189;234779860; no esta
34028499;253092796; no esta
93602639;198801666; no esta
98657281;606293; esta
35680151;821332; esta
98792004;202572967; no esta
23018259;337493; esta
83153666;239360; esta
74657386;231663490; no esta
97625452;260274013; no esta
35287247;224938379; no esta
43194207;456959; esta
71930533;247316163; no esta
75861310;222146276; no esta
36165721;221077903; no esta
81729551;326827; esta
68339966;210017437; no esta
15768619;303786; esta
32579182;229945305; no esta
12361969;538026; esta
57413248;262781104; no esta
07091123;1106345; esta
83952782;280277827; no esta
74474376;271209893; no esta
58327634;1109332; esta
57834543;233504128; no esta
73705280;212875248; no esta
66092206;248930241; no esta
18354001;856745; esta
89087971;237183697; no esta
01583095;203172860; no esta
09888139;211098610; no esta
22227927;231348610; no esta
41916168;218168894; no esta
93314537;983038; esta
69613655;204565498; no esta
84438168;206449656; no esta
53349009;201047209; no esta
44133835;207515468; no esta
19168101;232055170; no esta
37731244;248655041; no esta
04713384;228868827; no esta
45568858;203814992; no esta
29283700;194257672; no esta
80949483;212243781; no esta
84069438;196180229; no esta
12665508;197574574; no esta
61913262;882346; esta
42646082;204226725; no esta
85177074;202184701; no esta
85163868;98133; esta
76839890;206846456; no esta
95153301;205195684; no esta
98338935;474026; esta
08830539;215272258; no esta
54939790;189440; esta
77253590;223493687; no esta
42829090;492800; esta
69691079;213161540; no esta
84091581;132749484; esta
76475723;939518; esta
82857313;220889318; no esta
27546597;206379255; no esta
72649937;193918472; no esta
59412451;207471521; no esta
72851783;202150994; no esta
62767517;703573; esta
72694285;198280706; no esta
69216903;843519; esta
72802418;194288818; no esta
48806385;204605605; no esta
01854079;212105542; no esta
94683394;206868642; no esta
45364152;265813; esta
95439271;200528810; no esta
20544001;188604772; no esta
76254597;198337026; no esta
89842929;194156551; no esta
50002714;200597503; no esta
11331888;197967107; no esta
29206389;212501915; no esta
61975723;209019465; no esta
79375899;883199; esta
16712143;199617878; no esta
95021091;214439832; no esta
26252656;227155336; no esta
53417634;226673630; no esta
79985231;227606749; no esta
47709620;205989710; no esta
80604548;194761991; no esta
14227580;197301508; no esta
31947222;165120; esta
98786336;201223423; no esta
54159244;207206135; no esta
03027585;595626; esta
84768636;212377328; no esta
75336205;173226; esta
64821739;484692; esta
