User;Time
18096546;104960
82181276;50773
23339354;49493
40641831;59733
37961961;48640
66594468;65280
32940778;29440
65015868;49920
46119309;40960
32770791;55040
80317669;80213
58202732;79360
26464286;63574
30004615;46507
84452253;47786
08823186;52053
57058730;39254
44083345;38826
42766148;48640
31435569;48213
71406492;49067
01882738;39680
08476935;37546
23408558;39680
76008671;48213
43241466;51626
77240146;39680
97191815;48640
37807850;52054
30914524;47360
03629610;49493
56285369;38827
00686084;46934
55614604;47786
55713078;53333
71837824;49066
56405683;39680
56371375;47360
94254219;47360
74447197;46934
20535079;37547
26623227;46080
38259748;37120
46356497;48640
62092738;51200
92389173;46933
06393210;39253
05996468;47787
99840291;49920
17745486;48214
36090246;48213
39360676;47787
17994808;47787
47514071;46507
39768758;52480
33159702;49920
80123239;48213
67710175;47360
49111798;46506
05696377;47360
54350933;39680
46124263;48213
09539303;48640
51311946;50347
72070697;46507
78497819;49493
83837786;49920
13351712;48640
14512745;47787
55620596;47360
47951900;39253
32755607;48213
35706460;47786
15293177;52054
25723644;38400
17559225;47787
95493804;46933
59998786;46507
91689005;47786
04625369;47787
04697460;38827
84834765;48213
05244072;47787
17983277;51627
80347014;95573
95900882;48213
07008568;50774
56067016;49067
59767302;46934
53872095;47786
53566051;46507
40650402;47787
41513298;1023572
14171424;40533
85777138;39253
89153845;45653
89241751;38400
88050090;39253
66524168;39254
81760679;37973
57433820;37974
18710549;44800
01891650;37547
06308218;31147
13765442;41386
46364508;39254
61830232;38400
22027096;38400
24576298;39253
28652222;39680
49967069;39253
08028658;37546
01823152;32000
08786622;38400
07140244;40107
93380852;24320
74568608;31574
91502096;41813
88268731;38400
41880859;39254
57433586;38400
68708509;32000
35318811;39254
37339298;17067
79561907;39680
70063204;39680
53925860;30720
56576070;38826
12849459;37546
61865069;32000
46346700;40106
27960453;32853
62947629;39254
63313810;38400
19632276;38827
53479503;40107
72491990;38399
12661673;39680
35786542;39680
76070996;38400
63996691;37973
94964185;32000
67568555;28587
86072522;31146
36548613;40533
49508150;38400
66165369;39680
66586366;38826
86422443;40106
02689515;41387
45175317;32427
53994873;39253
29815004;39680
20411045;39253
36670244;41813
80626615;39680
77678168;39680
49112674;32853
30307307;38400
36284258;30720
41524258;38826
13779385;39253
71968126;37546
23489092;38400
03503403;40106
99364907;41813
31814879;32853
45579269;31146
14696834;31146
34095554;40107
03640459;61867
58996142;37120
33401149;38400
77209277;39680
86294710;38400
72081930;37974
68403538;38827
56182749;34134
79814631;69547
55712655;39253
15785471;39254
54695931;32000
98523564;43947
83589118;44800
85619640;38826
19280931;38400
14760065;38827
24026363;37974
44202902;40960
85727410;30293
48574468;38827
15607700;32853
03400992;37547
47019334;38400
99286081;39680
88749675;41387
68216912;48640
21489694;32426
34364145;33706
59067889;26880
81519942;34560
22252188;31573
57576586;33280
71531691;32000
24658253;26880
11515444;26880
68498661;32426
74628559;28587
43235625;35840
65368875;32427
58333944;32426
19018930;26880
29798316;34134
23160624;34133
15370302;33706
90562270;34560
69789022;35840
