User;Time;esta/no esta?
83847327;23098424;esta
34116817;26303966;no esta
57483836;25177568;no esta
08177225;24226102;esta
36164757;24734262;no esta
63825712;25337141;no esta
55439940;26613299;esta
03936910;29685295;no esta
37289190;27791325;no esta
43545707;27698311;no esta
54658328;25786421;no esta
39997528;23196130;esta
74511526;22976824;esta
08640883;23212343;esta
70063204;23456397;esta
68968811;25497141;no esta
39810787;27900125;no esta
19550491;28610097;no esta
60049674;26122206;no esta
66774625;24526049;esta
37355715;27539164;no esta
56005359;27679112;no esta
06489251;23610849;esta
87397776;24984715;no esta
97150848;25282101;no esta
34743899;24873354;no esta
93131463;23801143;esta
61060889;25235168;no esta
28394598;26795059;no esta
77129257;25236875;no esta
13251677;26318473;no esta
37831631;24931381;no esta
37221148;24675382;no esta
26109208;24998368;no esta
08674581;25420341;no esta
87566687;25355488;no esta
92270065;28340870;no esta
19597702;23573304;esta
98724875;26219913;no esta
12347564;24391649;esta
80690494;25926367;no esta
97724022;26734045;no esta
10717158;25347380;no esta
52192149;23418424;esta
03511226;27741831;no esta
75952160;26487006;no esta
85492711;25093941;no esta
56993947;24887861;no esta
17043060;26048394;no esta
89129903;25817567;no esta
41727558;23507596;esta
24569179;24011062;esta
76834846;25640501;no esta
57697249;25147274;no esta
33512983;26930312;no esta
66871319;26485726;no esta
94231410;26115380;no esta
90036111;28072498;no esta
07200854;27815217;no esta
01797224;26662366;no esta
95343344;27726898;no esta
89769636;26056500;no esta
47339808;25215541;no esta
43231216;25928074;no esta
91141335;26009140;no esta
53354015;23222157;esta
18936778;25588874;no esta
89094479;27100126;no esta
10925466;25178421;no esta
71845926;25207861;no esta
20319235;24838795;no esta
34695965;25240287;no esta
87222761;23981196;esta
74297416;27901404;no esta
80139734;25214261;no esta
17630359;25092235;no esta
24012504;25887967;no esta
42425943;24765408;no esta
25594153;24807648;no esta
38605891;26417886;no esta
62312573;26142260;no esta
51248600;25218101;no esta
87027704;25153675;no esta
24136080;25424181;no esta
65525465;25711327;no esta
50410208;25857247;no esta
30037322;26960179;no esta
56801768;26572339;no esta
46353388;26009567;esta
21652821;25929780;no esta
64532528;25030795;no esta
04373225;25677620;no esta
96657464;25244981;esta
69314751;28084871;no esta
37802138;26772872;no esta
71370055;23819063;esta
25077744;26719113;esta
72127490;29136603;no esta
92031303;24673675;esta
12344081;26265993;no esta
51877958;27147058;no esta
10840471;26545033;no esta
43739210;27535752;no esta
25144445;24912608;no esta
72369349;23170104;esta
97572727;23004131;esta
55061648;27631751;no esta
32502072;28945457;no esta
94563616;24446262;no esta
51837144;67413;esta
22664127;25659700;no esta
97816290;26649139;no esta
05896394;6879138;esta
28121404;24927115;no esta
63279612;25169887;no esta
82928083;28232071;no esta
77524265;23935970;esta
41838546;24890421;esta
47091394;24852875;no esta
61522656;23167970;esta
60111583;26128606;no esta
43508195;23640716;esta
01786759;25400287;no esta
53627245;23714529;esta
89460343;24484662;esta
06696068;26527966;no esta
26766100;24889568;no esta
68538279;23977356;esta
04641247;27662898;no esta
18478077;26128606;no esta
95734449;14884247;esta
96678877;23327117;esta
38394860;26398686;no esta
77389155;26260446;no esta
88006083;24347276;no esta
19702129;23172237;esta
82105739;22105145;esta
98188394;25230475;esta
73215129;26441779;no esta
47295694;26236554;no esta
01164505;26185779;no esta
50754085;27510151;no esta
74449687;29735642;no esta
67002075;27114206;no esta
35044373;26257033;no esta
42472004;25567967;esta
69070547;26630792;no esta
72532050;23421837;esta
27611911;27152179;no esta
30649604;27274632;no esta
69292557;25383221;esta
05563370;23161997;esta
52782215;25000502;no esta
41435645;24997515;no esta
79593271;24785462;esta
44142595;27842951;no esta
20272330;27725618;no esta
32196793;23861729;esta
83864777;24916875;no esta
21172762;28970630;no esta
88449596;28209030;no esta
04129946;26578739;no esta
70207861;25193781;no esta
51508450;24888715;no esta
44225962;25181834;no esta
24550375;25039754;no esta
22283675;23021197;esta
63371373;27600605;no esta
71968126;24002103;esta
30096630;26225033;no esta
53759968;26210953;esta
24478601;24842208;no esta
15600900;24576822;no esta
84260439;23335650;esta
72315163;24876342;no esta
65007677;27324125;no esta
18983205;26677299;no esta
95341672;25544928;esta
50708411;26062473;esta
34064430;26707166;no esta
00867063;24997088;no esta
41235407;28487217;no esta
24030857;24101089;esta
07855142;28651910;no esta
78195990;24486369;esta
37946734;25168181;no esta
76878103;17787710;esta
42558040;28981296;no esta
92399063;29029936;no esta
08820768;25057248;esta
73187247;27778951;no esta
18110938;25700233;esta
22829125;24907488;no esta
97835253;25344821;no esta
03901319;27289565;no esta
13278545;26532233;esta
14098480;29339696;no esta
64973087;23223011;esta
24986363;26268553;no esta
68179338;25648607;no esta
86820574;29266309;no esta
81843591;21659279;esta
40083721;27368498;no esta
41566368;27954737;no esta
96842098;25413514;no esta
58407448;25284234;esta
16443896;28447537;no esta
77230260;26268127;no esta
53858199;25293194;no esta
00298013;25143008;no esta
60291694;23560503;esta
53209551;25533834;no esta
01896376;25528714;no esta
66453615;13769796;esta
14622428;26191753;no esta
87611071;24268343;esta
70426946;25700234;esta
33824990;27028019;no esta
75238656;26863326;no esta
90187187;26395699;no esta
95653215;27545565;no esta
11698611;26953352;no esta
88232832;25939167;no esta
93685083;23616396;esta
47253705;23163278;esta
36402526;26145674;no esta
92045202;10747720;esta
59654846;25407541;no esta
87019804;22858637;esta
69126145;22861198;esta
70374590;24983435;no esta
06259190;27889031;no esta
29530165;28053724;no esta
95565699;24628875;esta
90478370;23937250;esta
36114418;23667170;esta
35137406;25464288;no esta
85069054;25242421;no esta
75882127;27864285;no esta
54095951;27181619;no esta
33484705;25443807;no esta
28502963;24751328;no esta
52949447;26896179;no esta
66599357;24908768;no esta
85937617;23327543;esta
25335845;26438793;no esta
82857790;28239324;no esta
46755917;25286367;esta
40343821;29908442;no esta
93771763;23015651;esta
97730314;23195704;esta
64962007;23258424;esta
04092777;22717411;esta
32060905;25457461;no esta
15373112;26181087;no esta
98305963;25138741;no esta
80436102;26748979;no esta
23942114;24867808;no esta
62692182;25599541;esta
99953900;26484020;no esta
44469406;26387166;no esta
67475389;26239966;no esta
59842934;25761674;no esta
13408626;25201888;no esta
98769820;23438050;esta
77862905;26594526;no esta
48251065;27461512;no esta
16100509;26437512;esta
33360058;23450423;esta
48398341;25794527;no esta
68564961;27125725;no esta
56295762;29558576;no esta
77782435;28127964;no esta
99246213;25035915;no esta
54663054;29931908;no esta
34398687;29582469;no esta
76850998;25361034;no esta
90814055;23066423;esta
23516490;25274421;no esta
01024404;23597623;esta
50862810;23729890;esta
87412814;27898845;no esta
43822872;23708130;esta
62031793;22765198;esta
98141967;24718049;no esta
65162937;28046897;no esta
84588170;28420657;esta
68106872;28608390;no esta
47769469;24775649;no esta
46814311;24757301;no esta
31346204;24799541;no esta
80088754;24768822;no esta
73707776;25380234;no esta
82905487;24967648;no esta
30784063;26282633;no esta
71529025;25768500;no esta
01706981;26552712;no esta
33560134;26723806;no esta
37352020;28003378;no esta
66629858;25828660;esta
34002997;26005300;no esta
40301996;23320717;esta
27303300;23546423;esta
58647104;25066634;no esta
92892196;24932234;no esta
02869237;26380340;no esta
10144368;25144288;no esta
10335096;24792715;no esta
00109766;23312184;esta
51865639;26187060;no esta
60895648;25063222;no esta
67758589;25275701;no esta
42703897;24884448;no esta
78679319;25908020;no esta
44760050;25140022;no esta
11121168;25150261;no esta
52290533;28038791;no esta
60117444;24996661;esta
93208454;26591113;no esta
92604152;16248299;esta
27997918;28211590;no esta
92402767;25336715;no esta
53767575;25029941;esta
42016287;26370100;no esta
26496906;26083380;no esta
06589298;25980553;esta
11994397;29136176;no esta
97944337;24062689;esta
70063309;25340554;no esta
95837889;25654580;no esta
12237154;25768073;no esta
42087736;25691701;no esta
14345373;29106736;no esta
48368503;24831542;esta
35951295;26851379;no esta
09908612;23831437;esta
39862101;27926578;no esta
44205982;27942364;no esta
28168944;25634954;esta
86427614;29706628;no esta
66889036;25430154;esta
49519226;25151541;no esta
79201485;25115701;no esta
83216116;23948343;esta
23604909;27982897;no esta
86744299;12395078;esta
22505601;25227487;no esta
81092200;25497141;no esta
30318216;24620769;no esta
57571262;25120821;no esta
14706874;25357194;no esta
84655498;25330741;no esta
74485169;25333301;no esta
86902031;26131166;no esta
83071472;19593361;esta
10127345;25198475;no esta
71474141;27815218;no esta
76179629;28292230;no esta
37534865;27051059;no esta
39669769;26910686;no esta
88358835;25076021;no esta
27817078;25067915;no esta
50812911;23682103;esta
31523308;23443596;esta
12148440;26337673;no esta
23194806;25192501;no esta
72929419;23860449;esta
97465154;27870684;no esta
33358934;24823008;esta
10646462;25384500;no esta
55621208;24003810;esta
16433963;27188445;no esta
43012280;29700228;no esta
27679475;24988128;esta
60325928;25262475;no esta
56651149;26237833;no esta
22006295;27729885;no esta
45450941;26986206;no esta
62086144;27232818;no esta
84084737;27714951;no esta
73667804;24788874;esta
24297986;23816503;esta
01736972;27092872;no esta
43511643;28560603;no esta
83349924;24830261;no esta
64342618;23427810;esta
73947350;26948232;no esta
15095105;26604340;no esta
56208462;25337140;no esta
63536009;23541730;esta
14661491;24958262;no esta
02926603;23408610;esta
07469079;23790477;esta
82523004;23252877;esta
52695124;26670046;no esta
12414039;24519222;esta
58823608;25576927;no esta
26221356;23134690;esta
12849194;26369246;no esta
96993962;25266314;no esta
50851395;25588874;no esta
13018486;25421621;no esta
08031216;26582580;no esta
79641456;24699275;no esta
74701466;24766688;no esta
56351505;25273995;no esta
23514760;26149087;no esta
00521005;24159969;esta
87373387;25381941;no esta
00464501;23480717;esta
42928590;25397301;no esta
32053865;25592288;esta
03517138;27557511;esta
35063286;27682524;no esta
42750818;27902257;no esta
01016525;29750149;no esta
26775689;29843589;no esta
65700444;25675060;esta
99644963;26242526;no esta
96252264;25492448;no esta
40905310;27840391;no esta
64356815;27101405;no esta
46973016;28299057;no esta
86793204;22728077;esta
46756604;25290634;no esta
59989664;25710047;no esta
70335284;27125725;no esta
74456493;23373197;esta
79490093;27340338;no esta
39739734;24863969;no esta
44415065;24910048;no esta
48130021;22900024;esta
09549256;23457677;esta
30036403;23333091;esta
52415575;25524021;no esta
75033049;25256501;no esta
46260129;24984288;no esta
63504187;25043168;no esta
55211808;23324130;esta
33290641;23258850;esta
07883893;23469196;esta
61177954;23211917;esta
68577003;12088305;esta
20924269;25005621;no esta
03399836;24745781;no esta
63985057;23684663;esta
84047343;28998363;no esta
00262841;23099277;esta
80368767;25261621;no esta
14003407;24911328;no esta
66318747;23272503;esta
55082099;28718470;no esta
97937261;29159643;no esta
33300436;28763696;no esta
66164725;23970956;esta
55311654;27152606;no esta
33599077;27435484;no esta
35170621;26089780;no esta
77597569;24913462;no esta
85567015;25274847;no esta
20035377;24767969;no esta
23333783;26804445;no esta
63543380;27409885;no esta
79245998;24710795;no esta
89804404;25300021;no esta
51450778;23448716;esta
40664390;25426314;no esta
77830766;23356557;esta
04956979;26264713;no esta
80295458;27213619;no esta
07483887;26135006;no esta
08801960;27135538;no esta
23316726;977492;esta
33384613;25418635;no esta
65265541;25895220;no esta
23842197;25423328;no esta
67160082;25433994;no esta
57533425;25500127;no esta
00939669;26625673;no esta
45355142;25903327;no esta
04625369;23712823;esta
47759838;24196235;esta
87245899;25343115;no esta
95261019;23661197;esta
74288860;25582474;no esta
68517382;25113568;no esta
31135321;24867808;no esta
86126816;24996235;no esta
07303628;25957513;no esta
58510806;25212128;no esta
32988270;28527323;no esta
13273632;27592071;no esta
22675359;26056073;no esta
29470126;25188662;no esta
82076754;23455543;esta
90079855;24958261;no esta
12711060;25015008;no esta
01379922;24599435;esta
57956345;26592392;esta
29337318;30031748;no esta
77444549;27807112;no esta
11669604;27874951;no esta
27351917;27417992;no esta
82195944;25980127;no esta
73756982;25322635;no esta
54165972;25245407;no esta
88317390;26952926;no esta
49292957;26467379;no esta
93861472;25611914;esta
43711275;23335223;esta
68194318;25233034;esta
13453079;25528287;esta
21612177;27519538;no esta
79310079;24003809;esta
67483447;24658742;no esta
45989685;25017994;no esta
67096782;23902262;esta
04391968;25058528;no esta
16621970;23528077;esta
91503286;25507807;no esta
14684424;26865032;no esta
86875512;26847539;no esta
80851519;66560;esta
39463308;25034634;no esta
94305364;24729995;no esta
95008305;24129676;esta
52427211;11319452;esta
87266879;23135117;esta
92957323;25115274;no esta
04317054;25133195;no esta
34316113;24287542;esta
38370064;23432077;esta
94908765;22743864;esta
20478880;26268126;no esta
71435852;23491810;esta
24370008;27803698;no esta
04558247;25634101;no esta
35566910;22637198;esta
71174206;26263433;no esta
53135925;24965941;no esta
32764226;25051701;no esta
31793557;24734261;esta
77164779;25725834;esta
72678126;24998368;no esta
19196612;26196020;esta
96967821;17083711;esta
77204008;25189088;no esta
88434140;24497889;no esta
16833157;23039970;esta
95072849;24757728;no esta
84285565;23484557;esta
23859511;23596344;esta
36992418;24412556;esta
51896397;26242526;no esta
74097777;24924128;no esta
87201808;27277192;no esta
46910592;24238476;esta
73219643;27547698;no esta
36764709;26994312;no esta
20672406;24188129;esta
51282827;24759435;no esta
31819528;19203389;esta
93997697;29666095;no esta
48474720;28767110;no esta
72139485;27137671;esta
48035206;25166901;esta
29437122;26961885;no esta
21268215;26645726;esta
64826599;25161781;no esta
41842308;25111434;no esta
87589305;25206155;no esta
50102124;26437512;no esta
30598266;26172554;no esta
76984290;25209567;no esta
13351712;24479115;esta
10448256;28306310;no esta
11200004;27696605;no esta
41409450;28761136;no esta
38655013;25172875;no esta
97971398;25085835;no esta
59988864;25186101;no esta
94529907;24527328;esta
47462115;27021192;no esta
36762813;24220129;esta
20361401;23870263;esta
65146465;23749943;esta
59647452;25270154;no esta
12023370;25496714;no esta
94701295;25809461;no esta
81762235;27473885;no esta
45365269;25479647;no esta
24201033;25145567;no esta
