User;Time;esta/no esta
70334081;68979965; no esta
67734766;64178264; no esta
24044547;59175604; no esta
87784079;72318201; no esta
14243680;61712988; no esta
84152827;55632569; no esta
36639489;52946278; no esta
21376372;55408142; no esta
91300293;54358118; no esta
70373671;57013260; no esta
21894086;58807818; no esta
14774674;56976140; no esta
37110881;329386; esta
24313537;59794270; no esta
59767302;1855144; esta
71531691;1645651; esta
65493659;76982941; no esta
02941148;80155631; no esta
88325629;69473191; no esta
96724497;753065; esta
96101907;58984458; no esta
44575587;59525897; no esta
42938533;58643979; no esta
84288896;1203625; esta
52791849;84053; esta
96512247;57147660; no esta
08363023;377599; esta
11050395;60100189; no esta
01211740;58090592; no esta
22491589;386133; esta
76075826;502612; esta
77537791;626773; esta
41742992;56914274; no esta
64603176;54201530; no esta
32583096;53717265; no esta
02270110;52490173; no esta
90000100;373759; esta
23007747;57147234; no esta
98892877;60708615; no esta
62887011;53649851; no esta
20041425;68857512; no esta
44433755;69470204; no esta
11406316;80118084; no esta
14484059;82347; esta
73621328;857173; esta
69277154;70543696; no esta
37482486;68791378; no esta
94998285;57147234; no esta
52923784;1035945; esta
61037558;50749375; no esta
38607794;391679; esta
41534713;55228943; no esta
54896489;59334324; no esta
93691811;59836510; no esta
54554529;63387225; no esta
96046739;566612; esta
09001355;61535495; no esta
27515182;65730902; no esta
57325337;742399; esta
54409958;490239; esta
80298633;64243118; no esta
62995603;63769092; no esta
68640475;59969203; no esta
75305054;76526835; no esta
37757110;74372598; no esta
88846731;53923771; no esta
75028843;56496141; no esta
04697460;1081599; esta
83380383;59886430; no esta
56047954;53179665; no esta
23593737;54498064; no esta
76125542;56460728; no esta
83668143;59677790; no esta
20770535;60091657; no esta
57435841;62146907; no esta
43770222;55022863; no esta
94037549;55074490; no esta
90596472;56689421; no esta
64676373;71976015; no esta
03592352;55892835; no esta
05806189;62966959; no esta
34028499;70025723; no esta
93602639;64345518; no esta
98657281;587092; esta
35680151;806399; esta
98792004;59907763; no esta
23018259;477013; esta
83153666;561493; esta
74657386;57201420; no esta
97625452;51191401; no esta
35287247;56536674; no esta
43194207;490666; esta
71930533;56019128; no esta
75861310;57376353; no esta
36165721;47603565; no esta
81729551;342613; esta
68339966;57826486; no esta
15768619;259413; esta
32579182;56675341; no esta
12361969;543573; esta
57413248;53327292; no esta
07091123;1016745; esta
83952782;51292521; no esta
74474376;55058703; no esta
58327634;883199; esta
57834543;51932947; no esta
73705280;53366972; no esta
66092206;55797689; no esta
18354001;908372; esta
89087971;64290905; no esta
01583095;65520129; no esta
09888139;52523026; no esta
22227927;54874810; no esta
41916168;56732941; no esta
93314537;971519; esta
69613655;59345417; no esta
84438168;56511501; no esta
53349009;59286111; no esta
44133835;61418161; no esta
19168101;71483215; no esta
37731244;94320946; no esta
04713384;74515958; no esta
45568858;66024876; no esta
29283700;71136336; no esta
80949483;68323325; no esta
84069438;64646318; no esta
12665508;72125347; no esta
61913262;882772; esta
42646082;61604188; no esta
85177074;58216032; no esta
85163868;119466; esta
76839890;54286437; no esta
95153301;58415712; no esta
98338935;196693; esta
08830539;57566220; no esta
54939790;244053; esta
77253590;53753105; no esta
42829090;527786; esta
69691079;55880888; no esta
84091581;48744471; no esta
76475723;972372; esta
82857313;55154276; no esta
27546597;57747980; no esta
72649937;64376664; no esta
59412451;66888448; no esta
72851783;51614227; no esta
62767517;1027412; esta
72694285;54067557; no esta
69216903;797012; esta
72802418;47426073; no esta
48806385;69061032; no esta
01854079;75036490; no esta
94683394;57953206; no esta
45364152;295253; esta
95439271;56165902; no esta
20544001;58365792; no esta
76254597;55692302; no esta
89842929;55859128; no esta
50002714;55178170; no esta
11331888;56770488; no esta
29206389;55967075; no esta
61975723;57932725; no esta
79375899;800852; esta
16712143;59254111; no esta
95021091;59130804; no esta
26252656;56421901; no esta
53417634;59032244; no esta
79985231;54453690; no esta
47709620;58865418; no esta
80604548;63018160; no esta
