User;Time;esta/no esta?
70334081;10161481;no esta
67734766;10000627;no esta
24044547;9941747;no esta
87784079;10188360;no esta
14243680;9911881;no esta
84152827;9818014;no esta
36639489;9933641;no esta
21376372;10095774;no esta
91300293;9797107;no esta
70373671;9844895;no esta
21894086;9868361;no esta
14774674;10086814;no esta
37110881;9257375;esta
24313537;10184520;no esta
59767302;9005641;esta
71531691;16968511;esta
65493659;9799668;no esta
02941148;10522014;no esta
88325629;10138013;no esta
96724497;9285534;esta
96101907;10224200;no esta
44575587;9885854;no esta
42938533;9807347;no esta
84288896;9673374;esta
52791849;9458335;esta
96512247;9775347;no esta
08363023;9242442;esta
11050395;9794974;no esta
01211740;10039027;no esta
22491589;9186975;esta
76075826;9321375;esta
77537791;9306868;esta
41742992;9893534;no esta
64603176;9962227;no esta
32583096;9841481;no esta
02270110;10190067;no esta
90000100;9403722;esta
23007747;10280947;no esta
98892877;9899080;no esta
62887011;9994228;no esta
20041425;9799241;no esta
44433755;10057800;no esta
11406316;10272414;no esta
14484059;10117534;esta
73621328;9768521;esta
69277154;10270280;no esta
37482486;9855561;no esta
94998285;9914440;no esta
52923784;9207029;esta
61037558;9897801;no esta
38607794;9342708;esta
41534713;9693001;no esta
54896489;9838921;no esta
93691811;9901641;no esta
54554529;10149961;no esta
96046739;9351241;esta
09001355;10460999;no esta
27515182;10286494;no esta
57325337;9418228;esta
54409958;9389215;esta
80298633;9941321;no esta
62995603;10298440;no esta
68640475;10279667;no esta
75305054;10097907;no esta
37757110;10806600;no esta
88846731;10923933;no esta
75028843;9894387;no esta
04697460;9321375;esta
83380383;10239987;no esta
56047954;9980574;no esta
23593737;9723721;no esta
76125542;9860681;no esta
83668143;10088094;no esta
20770535;9866654;no esta
57435841;11784518;no esta
43770222;9694280;no esta
94037549;9949427;no esta
90596472;9825694;no esta
64676373;9966920;no esta
03592352;10030494;no esta
05806189;10351347;no esta
34028499;10279240;no esta
93602639;9911454;no esta
98657281;9286815;esta
35680151;9253961;esta
98792004;10109427;no esta
23018259;9405428;esta
83153666;9400308;esta
74657386;10358174;no esta
97625452;10673906;no esta
35287247;10228040;no esta
43194207;9664414;esta
71930533;10082974;no esta
75861310;10001054;no esta
36165721;9928947;no esta
81729551;9285535;esta
68339966;9693428;no esta
15768619;17875604;esta
32579182;10087667;no esta
12361969;8983882;esta
57413248;9786867;no esta
07091123;9123828;esta
83952782;9792841;no esta
74474376;10003187;no esta
58327634;9335881;esta
57834543;10338547;no esta
73705280;9841908;no esta
66092206;9839347;no esta
18354001;9954974;esta
89087971;9744627;no esta
01583095;9789854;no esta
09888139;10014707;no esta
22227927;9739508;no esta
41916168;9882014;no esta
93314537;9103349;esta
69613655;10320627;no esta
84438168;9983560;no esta
53349009;9964361;no esta
44133835;10420040;no esta
19168101;11192305;no esta
37731244;9875614;no esta
04713384;10030494;no esta
45568858;9998494;no esta
29283700;10434973;no esta
80949483;10010014;no esta
84069438;10281800;no esta
12665508;10033907;no esta
61913262;9330762;esta
42646082;9931081;no esta
85177074;9982280;no esta
85163868;9547508;esta
76839890;9946014;no esta
95153301;10052253;no esta
98338935;9536841;esta
08830539;10074013;no esta
54939790;9471134;esta
77253590;9821854;no esta
42829090;9351241;esta
69691079;9940894;no esta
84091581;9978867;no esta
76475723;9282548;esta
82857313;9841054;no esta
27546597;9891828;no esta
72649937;9927667;no esta
59412451;9990813;no esta
72851783;10568520;no esta
62767517;9388361;esta
72694285;9882868;no esta
69216903;9555188;esta
72802418;9869641;no esta
48806385;11131719;no esta
01854079;8352416;no esta
94683394;9848734;no esta
45364152;9353801;esta
95439271;9945161;no esta
20544001;10362440;no esta
76254597;9937907;no esta
89842929;10212681;no esta
50002714;10050547;no esta
11331888;10026227;no esta
29206389;10021961;no esta
61975723;10084253;no esta
79375899;9244148;esta
16712143;10069748;no esta
95021091;10222493;no esta
26252656;9908894;no esta
53417634;10435400;no esta
79985231;10673053;no esta
47709620;9907187;no esta
80604548;10520733;no esta
14227580;10113267;no esta
31947222;9532148;esta
98786336;9900361;no esta
54159244;10812999;no esta
03027585;9940894;esta
84768636;10170867;no esta
75336205;10123933;esta
64821739;9950707;esta
74657582;9884148;no esta
33307254;10032201;no esta
60831354;9610655;esta
43082066;9326494;esta
78351732;9919987;no esta
49615488;9637107;no esta
05667372;9887134;no esta
55809926;9963934;no esta
40760181;9615774;esta
70737650;10034760;no esta
71022623;9410548;esta
77703154;9809480;no esta
65146429;10237853;no esta
61425562;9874761;no esta
41252461;9459614;esta
15211598;10181534;no esta
14286824;10054814;no esta
38332365;10444786;no esta
32835388;10113267;no esta
18923017;11707719;no esta
08365925;10382494;no esta
91915585;9797107;no esta
93691197;9299188;esta
03405111;9886281;no esta
61317407;9171188;esta
58530750;9704948;no esta
30624242;8992842;esta
88134837;9345694;esta
32838874;9842761;no esta
86002516;10505800;no esta
35652659;10107720;no esta
69084123;9745481;no esta
23341747;10110707;no esta
13077885;9337161;esta
27803732;9523187;esta
13563316;10102174;no esta
38357891;10429427;no esta
01461552;10218654;no esta
20071740;10159347;no esta
71803538;9850867;esta
15025078;9390495;esta
50693205;9408842;esta
20342745;10663667;no esta
30058536;10241694;no esta
14427357;9272735;esta
07441629;10132040;no esta
96088575;9676361;esta
74823243;9754441;no esta
73740364;10239134;no esta
94969444;9442975;esta
72281684;10350067;no esta
92322907;10875719;no esta
63122744;9923827;no esta
60507051;9987401;no esta
93812407;9972894;no esta
64494432;9623454;esta
94207243;9896094;no esta
72182076;9209589;esta
54449367;10895773;no esta
35698899;9876894;no esta
29675506;10075293;no esta
01660735;10049694;no esta
26617425;10555294;esta
07003539;11814811;no esta
99108060;9564148;no esta
83606289;9137482;esta
33924150;9912734;no esta
60893461;9781321;no esta
93619043;10332146;no esta
25704081;14239982;no esta
11981056;9110602;no esta
47277208;9664414;no esta
23469125;9243295;esta
85610822;9899507;no esta
50490908;9868361;no esta
26550966;9929801;no esta
22677546;9844041;no esta
67546937;10466120;no esta
49780183;9972467;no esta
76868610;10042440;no esta
02404844;10597959;no esta
53696157;9198922;esta
95849699;10546333;no esta
45688619;9977160;no esta
66655939;10342813;no esta
48708248;9947721;no esta
88635052;10181960;no esta
87754460;10091508;no esta
56233683;9948574;no esta
41966448;9259081;esta
79169597;9397322;esta
73390288;9777481;no esta
86793687;9954547;no esta
15821438;9322228;esta
83847327;9626441;esta
34116817;9974174;no esta
57483836;9834654;no esta
08177225;11313905;esta
36164757;9895668;no esta
63825712;10126068;no esta
55439940;9616201;esta
03936910;9969480;no esta
37289190;10070600;no esta
43545707;9872627;no esta
54658328;9952840;no esta
39997528;9231348;esta
74511526;9235188;esta
08640883;9604681;esta
70063204;9032096;esta
68968811;9903774;no esta
39810787;18545470;no esta
19550491;10103880;no esta
60049674;9783881;no esta
66774625;9279135;esta
37355715;10286067;no esta
56005359;10310387;no esta
06489251;10006174;esta
87397776;10986225;no esta
97150848;10001054;no esta
34743899;11117639;no esta
93131463;9215562;esta
61060889;9894387;no esta
28394598;10810013;no esta
77129257;10007453;no esta
13251677;9896094;no esta
37831631;10001481;no esta
37221148;10071454;no esta
26109208;9943028;no esta
08674581;10081267;no esta
87566687;9958814;no esta
92270065;9976307;no esta
19597702;9410121;esta
98724875;9932361;no esta
12347564;9517214;esta
80690494;9981001;no esta
97724022;9993374;no esta
10717158;9934068;no esta
52192149;9524041;esta
03511226;10094067;no esta
75952160;9913160;no esta
85492711;9961800;no esta
56993947;9802227;no esta
17043060;9935347;no esta
89129903;9938761;no esta
41727558;9405855;esta
24569179;9491614;esta
76834846;9912734;no esta
57697249;9932788;no esta
33512983;10057801;no esta
66871319;9888841;no esta
94231410;9974174;no esta
90036111;9937481;no esta
07200854;10242547;no esta
01797224;9613641;no esta
95343344;9832521;no esta
89769636;10079134;no esta
47339808;10029214;no esta
43231216;9761694;no esta
91141335;9997214;no esta
53354015;9083721;esta
18936778;9918281;no esta
89094479;9888414;no esta
10925466;9861534;no esta
71845926;9996361;no esta
20319235;10039027;no esta
34695965;10098760;no esta
87222761;9218122;esta
74297416;10018974;no esta
80139734;10449480;no esta
17630359;10074440;no esta
24012504;10221213;no esta
42425943;10520306;no esta
25594153;10052254;no esta
38605891;10629107;no esta
62312573;9961801;no esta
51248600;9938334;no esta
87027704;9806921;no esta
24136080;10273267;no esta
65525465;10260894;no esta
50410208;9914867;no esta
30037322;10036894;no esta
56801768;9975028;no esta
46353388;9291508;esta
21652821;10184094;no esta
64532528;10148680;no esta
04373225;9776627;no esta
96657464;9323508;esta
69314751;10179401;no esta
37802138;9820147;no esta
71370055;9521481;esta
25077744;9302601;esta
72127490;9742068;no esta
92031303;9227082;esta
12344081;9859827;no esta
51877958;10276680;no esta
10840471;9760414;no esta
43739210;9975453;no esta
25144445;11627505;no esta
72369349;9222389;esta
97572727;9112309;esta
55061648;9759134;no esta
32502072;9946014;no esta
94563616;9978014;no esta
51837144;83200;esta
22664127;9896094;no esta
97816290;9949854;no esta
05896394;8616096;esta
28121404;9714335;no esta
63279612;10160201;no esta
82928083;9992520;no esta
77524265;9308149;esta
41838546;9570547;esta
47091394;9966921;no esta
61522656;9396468;esta
60111583;9984414;no esta
43508195;10423453;esta
01786759;10188361;no esta
53627245;9993374;esta
89460343;9798387;esta
06696068;10027507;no esta
26766100;10512626;no esta
68538279;9523614;esta
04641247;10198600;no esta
18478077;10137587;no esta
95734449;9883721;no esta
96678877;9477961;esta
38394860;10538654;no esta
77389155;10884253;no esta
88006083;10056947;no esta
19702129;9284681;esta
82105739;9593161;esta
98188394;10128200;esta
73215129;9870921;no esta
47295694;9934068;no esta
01164505;10151667;no esta
50754085;9957961;no esta
74449687;10012147;no esta
67002075;10228467;no esta
35044373;10368414;no esta
42472004;9240308;esta
69070547;10333427;no esta
72532050;9387081;esta
27611911;11054065;no esta
30649604;10186654;no esta
69292557;9491614;esta
05563370;9442548;esta
52782215;9840201;no esta
41435645;9855134;no esta
79593271;9439135;esta
44142595;9855134;no esta
20272330;9911881;no esta
32196793;9354655;esta
83864777;10028361;no esta
21172762;9835507;no esta
88449596;9879028;no esta
04129946;10051827;no esta
70207861;10077427;no esta
51508450;10133748;no esta
44225962;9940040;no esta
24550375;9882868;no esta
22283675;9238175;esta
63371373;9816734;no esta
71968126;9389214;esta
30096630;9912734;no esta
53759968;9287242;esta
24478601;10043721;no esta
15600900;10015987;no esta
84260439;9516788;esta
72315163;10017267;no esta
65007677;10303134;no esta
18983205;9937054;no esta
95341672;9372148;esta
50708411;10027507;esta
34064430;10185374;no esta
00867063;9687880;no esta
41235407;10182387;no esta
24030857;9328628;esta
07855142;9646067;no esta
78195990;9162229;esta
37946734;10303133;no esta
76878103;10324894;no esta
42558040;9803080;no esta
92399063;10001908;no esta
08820768;9318815;esta
73187247;10094494;no esta
18110938;9307294;esta
22829125;9812041;no esta
97835253;9801801;no esta
03901319;9996361;no esta
13278545;9316254;esta
14098480;10094494;no esta
64973087;9231775;esta
24986363;10052680;no esta
68179338;9890974;no esta
86820574;10264733;no esta
81843591;9766814;no esta
40083721;9856841;no esta
41566368;9761267;no esta
96842098;9820574;no esta
58407448;9306441;esta
16443896;9846601;no esta
77230260;9844041;no esta
53858199;9828681;no esta
00298013;9960094;no esta
60291694;9095668;esta
53209551;10258333;no esta
01896376;10515613;no esta
66453615;10006601;no esta
14622428;10039881;no esta
87611071;9771081;esta
70426946;9287668;esta
33824990;10106440;no esta
75238656;10149960;no esta
90187187;9949001;no esta
95653215;9893534;no esta
11698611;10021960;no esta
88232832;9964360;no esta
93685083;9234761;esta
47253705;9321374;esta
36402526;9755294;no esta
92045202;9878600;no esta
59654846;9894814;no esta
87019804;9479668;esta
69126145;9294068;esta
70374590;9916574;no esta
06259190;9843188;no esta
29530165;9919561;no esta
95565699;9411828;esta
90478370;9387935;esta
36114418;9359348;esta
35137406;11012252;no esta
85069054;10352627;no esta
75882127;10225054;no esta
54095951;9858121;no esta
33484705;9763401;no esta
28502963;9771508;no esta
52949447;9884147;no esta
66599357;10146547;no esta
85937617;9259508;esta
25335845;10097054;no esta
82857790;9851721;no esta
46755917;9400308;esta
40343821;9894387;no esta
93771763;9236895;esta
97730314;11250759;esta
64962007;9221962;esta
04092777;9478388;esta
32060905;9873480;no esta
15373112;10727240;no esta
98305963;9866654;no esta
80436102;10018547;no esta
23942114;10026654;no esta
62692182;9320522;esta
99953900;9905481;no esta
