User;Time;esta/no esta?
15821438;2840317;esta
83847327;3170556;esta
34116817;3209382;no esta
57483836;3060049;no esta
08177225;3178236;esta
36164757;3363835;no esta
63825712;3241810;no esta
55439940;3174823;esta
03936910;3172262;no esta
37289190;3325863;no esta
43545707;3766182;no esta
54658328;3936422;no esta
39997528;2661117;esta
74511526;3512315;esta
08640883;3388156;esta
70063204;2821970;esta
68968811;3952635;no esta
39810787;3100156;no esta
19550491;3191889;no esta
60049674;3586556;no esta
66774625;2862503;esta
37355715;3056209;no esta
56005359;3374502;no esta
06489251;3020370;esta
87397776;3602769;no esta
97150848;3489276;no esta
34743899;3227303;no esta
93131463;2755837;esta
61060889;3140689;no esta
28394598;3484155;no esta
77129257;3403943;no esta
13251677;3077969;no esta
37831631;2993063;no esta
37221148;3080956;no esta
26109208;3629649;no esta
08674581;3380049;no esta
87566687;3174822;no esta
92270065;3349756;no esta
19597702;2970450;esta
98724875;3433382;no esta
12347564;3403516;esta
80690494;3322022;no esta
97724022;3141116;no esta
10717158;3346769;no esta
52192149;3392422;esta
03511226;3689809;no esta
75952160;3274235;no esta
85492711;3333543;no esta
56993947;3150503;no esta
17043060;3915515;no esta
89129903;3073276;no esta
41727558;2857383;esta
24569179;3346343;esta
76834846;3144956;no esta
57697249;3437222;no esta
33512983;4875940;no esta
66871319;4978341;no esta
94231410;3208530;no esta
90036111;3606183;no esta
07200854;3290449;no esta
01797224;3132156;no esta
95343344;3293436;no esta
89769636;3135569;no esta
47339808;3857489;no esta
43231216;3134716;no esta
91141335;3359996;no esta
53354015;2945703;esta
18936778;3129596;no esta
89094479;3601489;no esta
10925466;3394129;no esta
71845926;3300689;no esta
20319235;3119782;no esta
34695965;3006289;no esta
87222761;3320316;esta
74297416;3424849;no esta
80139734;3400529;no esta
17630359;3085222;no esta
24012504;3214075;no esta
42425943;4469754;no esta
25594153;3002876;no esta
38605891;3240956;no esta
62312573;3295569;no esta
51248600;3611302;no esta
87027704;3378769;no esta
24136080;3084796;no esta
65525465;3166289;no esta
50410208;3031889;no esta
30037322;3461116;no esta
56801768;3476902;no esta
46353388;3010556;esta
21652821;3199995;no esta
64532528;3487142;no esta
04373225;3410342;no esta
96657464;3416315;esta
69314751;3372369;no esta
37802138;3118076;no esta
71370055;3068156;esta
25077744;3120209;esta
72127490;3423996;no esta
92031303;3426982;esta
12344081;3541329;no esta
51877958;3747409;no esta
10840471;4697594;no esta
43739210;3350609;no esta
25144445;3293009;no esta
72369349;2961916;esta
97572727;2784850;esta
55061648;3024636;no esta
32502072;3310502;no esta
94563616;3166289;no esta
51837144;63573;esta
22664127;3173116;no esta
97816290;3603622;no esta
05896394;2675197;esta
28121404;3197009;no esta
63279612;3453436;no esta
82928083;3261862;no esta
77524265;2977703;esta
41838546;3015676;esta
47091394;3376209;no esta
61522656;3010983;esta
60111583;3172689;no esta
43508195;3327996;esta
01786759;3097596;no esta
53627245;2927356;esta
89460343;3248636;esta
06696068;3557542;no esta
26766100;3174823;no esta
68538279;3321169;esta
04641247;2975569;no esta
18478077;3463249;no esta
95734449;3412476;no esta
96678877;2730664;esta
38394860;3005436;no esta
77389155;3124476;no esta
88006083;3226022;no esta
19702129;2827517;esta
82105739;2966183;esta
98188394;3026343;esta
73215129;2916690;no esta
47295694;3040423;no esta
01164505;3175676;no esta
50754085;3039569;no esta
74449687;3077116;no esta
67002075;3252903;no esta
35044373;3023356;no esta
42472004;2781863;esta
69070547;3106129;no esta
72532050;3962875;esta
27611911;3275942;no esta
30649604;3472208;no esta
69292557;3135570;esta
05563370;2877863;esta
52782215;3240956;no esta
41435645;3150503;no esta
79593271;2998609;esta
44142595;3243943;no esta
20272330;3386023;no esta
32196793;2811303;esta
83864777;3191889;no esta
21172762;3232423;no esta
88449596;3121063;no esta
04129946;3289169;no esta
70207861;3389009;no esta
51508450;3095463;no esta
44225962;3207676;no esta
24550375;3234983;no esta
22283675;2859089;esta
63371373;3358289;no esta
71968126;3226875;esta
30096630;3203409;no esta
53759968;2832210;esta
24478601;3767036;no esta
15600900;3139409;no esta
84260439;2833063;esta
72315163;3158609;no esta
65007677;3277649;no esta
18983205;3135570;no esta
95341672;2823250;esta
50708411;3177809;esta
34064430;3074130;no esta
00867063;3240103;no esta
41235407;3236262;no esta
24030857;3219196;esta
07855142;3201702;no esta
78195990;3081809;esta
37946734;3172689;no esta
76878103;3166716;no esta
42558040;3414183;no esta
92399063;3240956;no esta
08820768;2932903;esta
73187247;3243943;no esta
18110938;2877863;esta
22829125;3427836;no esta
97835253;3136422;no esta
03901319;3354876;no esta
13278545;2915836;esta
14098480;3182076;no esta
64973087;3095462;esta
24986363;2910716;no esta
68179338;2958077;no esta
86820574;3524262;no esta
81843591;3048103;no esta
40083721;3217489;no esta
41566368;3389009;no esta
96842098;3797328;no esta
58407448;2852690;esta
16443896;3426129;no esta
77230260;3221756;no esta
53858199;3453435;no esta
00298013;3303676;no esta
60291694;2797223;esta
53209551;2903463;no esta
01896376;3632635;no esta
66453615;3327142;no esta
14622428;3272103;no esta
87611071;2991356;esta
70426946;2949970;esta
33824990;3293009;no esta
75238656;3235835;no esta
90187187;3461115;no esta
95653215;3055356;no esta
11698611;3127463;no esta
88232832;3310076;no esta
93685083;2882983;esta
47253705;2700370;esta
36402526;3624102;no esta
92045202;3190182;no esta
59654846;3274236;no esta
87019804;3051942;esta
69126145;3190609;esta
70374590;3152210;no esta
06259190;3226875;no esta
29530165;3510182;no esta
95565699;2866343;esta
90478370;3201702;esta
36114418;2976423;esta
35137406;3111676;no esta
85069054;3402236;no esta
75882127;3149223;no esta
54095951;3337809;no esta
33484705;3278076;no esta
28502963;3142822;no esta
52949447;3342503;no esta
66599357;3171409;no esta
85937617;3160742;esta
25335845;3180369;no esta
82857790;3381329;no esta
46755917;3003729;esta
